episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,725.9333333333328,284.29999999999995,66.13333333333333,225.49999999999997,150.0,2290.0,405,89.80392156862746,582.1739130434783,1,6,16.666666666666664
2,711.9924242424239,224.79999999999998,82.99242424242425,224.2000000000001,180.0,2282.0,352,89.49019607843137,551.9130434782609,1,3,33.33333333333333
3,677.7166666666666,219.69999999999996,57.91666666666667,220.1,180.0,2231.0,446,87.49019607843137,557.8260869565217,1,3,33.33333333333333
4,670.6904761904761,213.49999999999997,61.99047619047619,215.20000000000005,180.0,2182.0,440,85.5686274509804,617.695652173913,1,3,33.33333333333333
5,682.7500000000003,217.69999999999993,66.25,218.79999999999998,180.0,2219.0,422,87.01960784313727,592.9130434782609,1,3,33.33333333333333
6,700.1142857142856,219.59999999999997,79.5142857142857,220.99999999999997,180.0,2243.0,427,87.9607843137255,602.9565217391304,1,3,33.33333333333333
7,683.6857142857141,218.50000000000003,65.38571428571429,219.79999999999995,180.0,2232.0,462,87.52941176470588,553.4782608695652,1,3,33.33333333333333
8,681.2083333333331,218.89999999999995,61.70833333333333,220.59999999999997,180.0,2231.0,398,87.49019607843137,609.8260869565217,1,3,33.33333333333333
9,659.5669786096256,214.70000000000002,49.36697860962567,215.50000000000006,180.0,2187.0,374,85.76470588235294,577.695652173913,1,3,33.33333333333333
10,660.9000000000001,215.39999999999998,48.5,216.99999999999997,180.0,2190.0,423,85.88235294117646,606.0,1,3,33.33333333333333
11,678.4,219.9999999999999,57.0,221.3999999999999,180.0,2247.0,410,88.11764705882354,603.5652173913044,1,3,33.33333333333333
12,687.5999999999998,216.70000000000013,74.0,216.89999999999998,180.0,2203.0,401,86.3921568627451,611.8260869565217,1,3,33.33333333333333
13,758.3999999999999,280.3999999999999,78.5,219.5,180.0,2240.0,229,87.84313725490196,646.304347826087,1,3,33.33333333333333
14,1368.4136363636367,220.0,98.11363636363636,220.29999999999998,830.0,2236.0,136,87.68627450980392,681.6521739130435,5,22,22.727272727272727
15,703.1999999999999,215.4,92.0,215.79999999999998,180.0,2190.0,252,85.88235294117646,661.6521739130435,1,3,33.33333333333333
16,659.4886363636365,218.3999999999999,90.48863636363636,220.5999999999999,130.0,2231.0,194,87.49019607843137,671.6521739130435,1,8,12.5
17,695.4142857142858,223.69999999999993,98.41428571428571,223.29999999999998,150.0,2273.0,156,89.13725490196079,653.6086956521739,1,6,16.666666666666664
18,394.9857142857143,217.20000000000002,87.88571428571429,219.8999999999999,-130.0,2206.0,207,86.50980392156863,706.5652173913044,1,34,2.941176470588235
19,800.3285714285711,210.90000000000003,85.92857142857143,213.5,290.0,2156.0,221,84.54901960784314,680.0434782608696,2,13,15.384615384615385
20,699.9,219.3,99.3,221.29999999999995,160.0,2240.0,211,87.84313725490196,701.8260869565217,2,26,7.6923076923076925
21,922.9,216.1,99.5,217.29999999999998,390.0,2197.0,163,86.15686274509804,689.0434782608696,3,24,12.5
22,651.6803196803195,226.89999999999992,78.08031968031966,226.69999999999996,120.0,2303.0,5,90.31372549019608,653.4347826086956,1,9,11.11111111111111
23,553.3000000000001,208.70000000000007,92.2,212.39999999999998,40.0,2134.0,229,83.68627450980392,690.0434782608696,1,17,5.88235294117647
24,1028.1294117647058,220.10000000000005,96.52941176470588,221.49999999999997,490.0,2248.0,112,88.15686274509804,684.5217391304348,3,14,21.428571428571427
25,404.1000000000003,212.0,87.0,215.1,-110.0,2154.0,194,84.47058823529412,688.3478260869565,1,32,3.125
26,1362.5,227.39999999999992,87.5,227.5999999999999,820.0,2308.0,78,90.50980392156863,696.4782608695652,6,44,13.636363636363635
27,1272.1142857142856,220.39999999999995,70.21428571428572,221.49999999999997,760.0,2240.0,45,87.84313725490196,688.1739130434783,5,29,17.24137931034483
28,2250.65,227.39999999999995,105.35,227.89999999999995,1690.0,2308.0,21,90.50980392156863,692.4782608695652,10,41,24.390243902439025
29,1455.7879618833178,212.70000000000005,98.58796188331793,214.49999999999997,930.0,2161.0,164,84.74509803921568,726.6521739130435,6,33,18.181818181818183
30,1434.5376623376621,219.29999999999993,83.73766233766233,221.49999999999994,910.0,2227.0,173,87.33333333333333,694.5652173913044,6,35,17.142857142857142
