LLM + RL,,,,,,,,,,,,
episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,797.8088201,357.3,28.00882013,222.5,190,2270,767,89.01960784,413.0869565,6,8,75
2,538.0118842,281.7,43.7118842,222.6,-10,2264,526,88.78431373,505.173913,7,8,87.5
3,840.1702381,218.7,32.4702381,219,370,2228,757,87.37254902,469,8,8,100
4,769.3,220.6,38.1,220.6,290,2242,680,87.92156863,489.173913,7,8,87.5
5,726.3958042,218.9,27.7958042,219.7,260,2236,516,87.68627451,564.7391304,7,8,87.5
6,746.8285714,220.8,24.52857143,221.5,280,2255,763,88.43137255,469.1304348,8,8,100
7,293.557764,223.4,35.95776398,224.2,-190,2281,694,89.45098039,465,8,8,100
8,790.4147894,222.1,46.71478938,221.6,300,2257,628,88.50980392,499.5217391,8,8,100
9,832.2981555,222.7,27.09815547,222.5,360,2263,495,88.74509804,549.9130435,8,8,100
10,872.3288462,216.9,37.92884615,217.5,400,2212,576,86.74509804,570.9565217,8,8,100
11,875.7282967,222.4,31.8282967,221.5,400,2260,601,88.62745098,554.2173913,8,8,100
12,896.9999167,221.6,54.09991675,221.3,400,2252,553,88.31372549,491.1304348,8,8,100
13,832.8875,215.2,61.9875,215.7,340,2199,568,86.23529412,497.8695652,8,8,100
14,878.1396132,218,42.73961321,217.4,400,2216,525,86.90196078,536.6956522,8,8,100
15,856.9,216.7,22.6,217.6,400,2214,517,86.82352941,537.0434783,8,8,100
16,800.2,222.3,6,221.9,350,2259,521,88.58823529,546.6956522,8,8,100
17,873.6205128,221.8,30.32051282,221.5,400,2254,577,88.39215686,521.7826087,8,8,100
18,878.7785714,219.4,39.37857143,220,400,2241,536,87.88235294,559.6956522,8,8,100
19,850.7,219,12,219.7,400,2237,485,87.7254902,542.6521739,8,8,100
20,869.6126623,215.6,37.91266234,216.1,400,2203,413,86.39215686,648.3478261,8,8,100
RL,,,,,,,,,,,,
episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,753.8764684,356.4,46.27646844,221.2,130,2253,798,88.35294118,412.5217391,6,8,75
2,935.2543924,279.7,36.55439245,219,400,2233,435,87.56862745,567.173913,8,8,100
3,827.125,219.1,28.125,219.9,360,2238,801,87.76470588,486.2173913,8,8,100
4,824.6347902,222.4,30.23479021,222,350,2260,566,88.62745098,519.2173913,8,8,100
5,456.3815348,223,20.98153476,222.4,-10,2266,603,88.8627451,484.2173913,5,8,62.5
6,889.7281385,222.8,44.82813853,222.1,400,2264,742,88.78431373,457,8,8,100
7,872.9710747,219.9,33.37107471,219.7,400,2235,713,87.64705882,476.3043478,8,8,100
8,723.1840674,218.2,47.2840674,217.7,240,2218,513,86.98039216,552.173913,7,8,87.5
9,834.0910747,221.1,22.49107471,220.5,370,2247,537,88.11764706,556.4782609,8,8,100
10,759.0593681,222.2,33.65936809,223.2,280,2269,450,88.98039216,552.3478261,8,8,100
11,873.6904762,222.2,29.79047619,221.7,400,2258,426,88.54901961,602.3043478,8,8,100
12,867.075,218.3,31.175,217.6,400,2219,538,87.01960784,536.8695652,8,8,100
13,810.55,219.4,22.15,219,350,2230,460,87.45098039,582.9130435,8,8,100
14,886.0252525,223,40.02525253,223,400,2266,440,88.8627451,613.4347826,8,8,100
15,750.9422411,219.8,51.54224109,219.6,260,2234,605,87.60784314,506.6086957,7,8,87.5
16,868.5266667,217.6,32.42666667,218.5,400,2223,494,87.17647059,537.5652174,8,8,100
17,784.0988095,217.5,48.39880952,218.2,300,2222,543,87.1372549,530.1304348,7,8,87.5
18,768.1452381,213.2,31.1452381,213.8,310,2179,511,85.45098039,543.6956522,7,8,87.5
19,809.4035485,219.5,51.00354845,218.9,320,2229,530,87.41176471,544.6521739,7,9,77.77777778
20,860.7548218,219.4,21.25482184,220.1,400,2241,490,87.88235294,562.826087,8,8,100
