episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,1052.176282,355.6,25.37628205,221.2,450,2242,780,87.92156863,438.4347826,9,9,100
2,751.975,225.5,19.875,226.6,280,2302,751,90.2745098,397.4782609,7,8,87.5
3,931.9805863,278,34.98058633,219,400,2227,487,87.33333333,570.3913043,8,8,100
4,832.9258297,222.8,17.52582973,222.6,370,2264,543,88.78431373,568.6956522,8,8,100
5,697.735119,217.3,53.53511905,216.9,210,2209,797,86.62745098,488.826087,6,8,75
6,877.8291648,223.4,31.2291648,223.2,400,2270,556,89.01960784,527.7391304,8,8,100
7,763.5418262,221.9,39.14182616,222.5,280,2266,719,88.8627451,434.6086957,8,8,100
8,859.5806054,221,17.08060536,221.5,400,2257,626,88.50980392,543.3043478,8,8,100
9,658.375,224.5,9.875,224,200,2281,786,89.45098039,410.7826087,5,8,62.5
10,876.469385,222,33.06938503,221.4,400,2256,560,88.47058824,552.826087,8,8,100
11,834.7200549,222.5,18.82005495,223.4,370,2272,632,89.09803922,525.826087,8,8,100
12,624.3175549,223.2,17.61755486,223.5,160,2268,740,88.94117647,416.1304348,7,8,87.5
13,671.2,221.8,8,221.4,220,2254,777,88.39215686,396.1304348,6,8,75
14,845.208001,217.7,48.30800098,219.2,360,2224,778,87.21568627,445.9565217,8,8,100
15,163.5,221.2,21.5,220.8,-300,2248,714,88.15686275,432.826087,7,8,87.5
16,421.8,224,4,223.8,-30,2276,732,89.25490196,447.3913043,8,8,100
17,758.9,223.9,10,225,300,2286,770,89.64705882,426.173913,7,8,87.5
18,811.2,225.6,0,225.6,360,2292,844,89.88235294,414.0434783,8,8,100
19,744.1,222.4,0,221.7,300,2260,833,88.62745098,380.2608696,7,8,87.5
20,829.4636364,220.3,19.36363636,219.8,370,2239,552,87.80392157,555.826087,8,8,100
21,846,221.2,4,220.8,400,2248,565,88.15686275,520.5652174,8,8,100
22,879.2601594,221.9,35.86015936,221.5,400,2255,653,88.43137255,433.1304348,8,8,100
23,763.9,218.5,7.3,218.1,320,2221,588,87.09803922,540.3478261,8,8,100
24,839.6031377,218.1,63.70313765,217.8,340,2217,648,86.94117647,499.2608696,8,8,100
25,870.2278932,217.8,35.22789316,217.2,400,2214,491,86.82352941,557.1304348,8,8,100
26,864.3075099,224.5,15.70750988,224.1,400,2281,634,89.45098039,480.1304348,8,8,100
27,855.95,221.7,12.75,221.5,400,2253,735,88.35294118,455.9565217,8,8,100
28,864.375,227.5,9.875,227,400,2311,582,90.62745098,460.4347826,8,8,100
29,838.1,219.2,0,218.9,400,2228,882,87.37254902,446.3913043,8,8,100
30,848.6,224.5,0,224.1,400,2281,809,89.45098039,412.3478261,8,8,100
31,852.5,226.5,0,226,400,2301,674,90.23529412,451.6521739,8,8,100
32,849.9,225.2,0,224.7,400,2288,818,89.7254902,400.0869565,8,8,100
33,848.3,224.4,0,223.9,400,2280,653,89.41176471,435.2173913,8,8,100
34,845.2,222.8,0,222.4,400,2264,849,88.78431373,394.8695652,8,8,100
35,851.7,226.2,0,225.5,400,2298,746,90.11764706,424.1304348,8,8,100
36,-67.8,221.2,0,221,-510,2248,753,88.15686275,463.3478261,7,8,87.5
37,842.9,221.9,0,221,400,2255,823,88.43137255,397.3913043,8,8,100
38,846.5,223.4,0,223.1,400,2270,846,89.01960784,390.1304348,8,8,100
39,859.6839663,214.6,31.18396628,213.9,400,2182,699,85.56862745,474,8,8,100
40,871.9334468,218.2,35.93344676,217.8,400,2218,688,86.98039216,488.3043478,8,8,100
41,869.4,220.8,28.3,220.3,400,2244,537,88,517.6086957,8,8,100
42,872.95,219.7,33.75,219.5,400,2233,544,87.56862745,519.1304348,8,8,100
43,864.4,217.9,29.1,217.4,400,2215,498,86.8627451,539.8695652,8,8,100
44,865.0917582,219,26.89175824,219.2,400,2226,534,87.29411765,563.9565217,8,8,100
45,854.6,222.8,9.5,222.3,400,2264,583,88.78431373,516.9565217,8,8,100
46,867.9136364,221.6,25.11363636,221.2,400,2252,583,88.31372549,510.4347826,8,8,100
47,857.9989011,217.7,22.8989011,217.4,400,2213,611,86.78431373,531.0434783,8,8,100
48,858.6404762,216.4,24.94047619,217.3,400,2211,725,86.70588235,526.0434783,8,8,100
49,889.4957109,221.8,46.19571088,221.5,400,2254,676,88.39215686,474.4347826,8,8,100
50,853.6,223,8,222.6,400,2266,671,88.8627451,482.8695652,8,8,100
