episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate
1,22932.55909090909,279.2,55.65909090909091,217.70000000000005,22380.0,2205.0,388,86.47058823529412,597.3478260869565,499,538,92.75092936802974
2,19174.19615384616,215.10000000000002,53.396153846153844,215.69999999999996,18690.0,2187.0,402,85.76470588235294,600.4347826086956,412,456,90.35087719298247
3,17513.900000000005,216.3,51.0,216.6,17030.0,2199.0,484,86.23529411764706,554.8260869565217,387,443,87.3589164785553
4,17437.0,210.59999999999997,53.0,213.4,16960.0,2142.0,518,84.0,618.1304347826087,386,427,90.39812646370024
5,14519.5,217.5,61.5,220.50000000000003,14020.0,2211.0,459,86.70588235294117,588.6086956521739,335,394,85.0253807106599
6,15366.150000000001,211.09999999999994,61.95,213.10000000000008,14880.0,2147.0,428,84.19607843137254,601.6521739130435,345,403,85.60794044665012
7,18865.287500000002,217.49999999999997,70.1875,217.59999999999994,18360.0,2211.0,420,86.70588235294117,638.1739130434783,407,448,90.84821428571429
8,25036.500000000004,220.50000000000003,45.0,220.99999999999997,24550.0,2241.0,429,87.88235294117646,587.6086956521739,559,619,90.30694668820679
9,42151.32857142858,217.99999999999997,34.42857142857143,218.9,41680.0,2216.0,449,86.90196078431373,543.7391304347826,933,993,93.95770392749245
10,51549.03076923077,223.4,12.430769230769231,223.19999999999982,51090.0,2270.0,483,89.01960784313725,524.1739130434783,1122,1170,95.8974358974359
11,54762.30000000003,223.6,15.0,223.7,54300.0,2273.0,402,89.13725490196079,555.8260869565217,1188,1219,97.45693191140279
12,55056.60000000001,224.59999999999997,8.0,224.0,54600.0,2282.0,363,89.49019607843137,549.3478260869565,1212,1253,96.72785315243416
13,59622.49999999997,226.39999999999992,10.0,226.09999999999997,59160.0,2300.0,356,90.19607843137256,558.2608695652174,1358,1377,98.62018881626724
14,60586.117307692286,228.99999999999994,8.317307692307693,228.79999999999993,60120.0,2326.0,379,91.2156862745098,523.5652173913044,1414,1443,97.99029799029799
15,9622.400000000005,361.7,43.0,227.70000000000002,8990.0,2306.0,642,90.43137254901961,516.6086956521739,243,302,80.4635761589404
16,13986.49999999999,221.09999999999997,74.0,221.39999999999998,13470.0,2247.0,518,88.11764705882354,533.1304347826087,301,339,88.79056047197639
17,18215.600000000002,222.79999999999998,40.5,222.30000000000004,17730.0,2264.0,600,88.7843137254902,485.0,390,425,91.76470588235294
18,16061.536363636369,228.0000000000001,45.63636363636364,227.9000000000001,15560.0,2316.0,612,90.8235294117647,493.2608695652174,363,424,85.61320754716981
19,14970.000000000002,225.00000000000006,30.5,224.50000000000003,14490.0,2286.0,598,89.64705882352942,463.17391304347825,355,412,86.16504854368931
20,17383.6,224.0999999999999,26.0,223.49999999999991,16910.0,2277.0,641,89.29411764705883,465.0869565217391,379,435,87.1264367816092
