episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,867.6499999999997,215.49999999999997,64.25,217.89999999999998,370.0,2202.0,437,86.3529411764706,600.8695652173913,8,8,100.0,0,65,71
2,867.025,216.60000000000002,62.325,218.10000000000002,370.0,2202.0,364,86.3529411764706,627.1304347826087,8,8,100.0,0,64,71
3,858.5999999999999,205.99999999999997,72.0,210.59999999999997,370.0,2096.0,435,82.19607843137256,585.9130434782609,8,8,100.0,0,63,71
4,851.0030303030302,216.69999999999993,75.80303030303031,218.4999999999999,340.0,2210.0,407,86.66666666666667,635.2608695652174,8,8,100.0,0,64,71
5,854.8500000000004,219.49999999999994,65.05,220.30000000000004,350.0,2231.0,407,87.49019607843137,587.2173913043479,8,8,100.0,0,65,71
6,831.6000000000004,210.89999999999986,69.0,211.7,340.0,2145.0,385,84.11764705882354,610.1739130434783,8,8,100.0,0,67,71
7,862.6107142857145,219.39999999999992,53.31071428571428,219.89999999999992,370.0,2230.0,464,87.45098039215686,619.8260869565217,8,8,100.0,0,64,71
8,848.5666666666667,217.09999999999997,62.266666666666666,219.20000000000002,350.0,2207.0,330,86.54901960784314,617.2173913043479,8,8,100.0,0,61,71
9,938.6833333333334,277.99999999999994,90.08333333333334,220.59999999999994,350.0,2216.0,240,86.90196078431373,643.9130434782609,8,8,100.0,0,52,71
10,888.0765384615386,214.50000000000009,84.77653846153846,218.80000000000007,370.0,2192.0,155,85.9607843137255,696.0,8,8,100.0,0,52,71
11,887.6183982683982,218.10000000000005,79.61839826839827,219.9,370.0,2220.0,155,87.05882352941177,704.304347826087,8,8,100.0,0,52,71
12,884.7071164129989,214.8,83.70711641299874,216.2,370.0,2195.0,177,86.07843137254902,697.1739130434783,8,8,100.0,0,49,71
13,932.0750000000005,218.89999999999998,72.475,220.7,420.0,2225.0,161,87.25490196078431,685.9565217391304,9,9,100.0,0,38,71
14,826.6850891861762,226.69999999999996,73.38508918617613,226.5999999999999,300.0,2303.0,167,90.31372549019608,629.8695652173913,8,8,100.0,0,46,71
15,875.1301365301368,226.20000000000007,72.33013653013654,226.60000000000005,350.0,2309.0,172,90.54901960784314,646.8695652173913,8,8,100.0,0,41,71
16,881.4186147186143,217.09999999999994,75.41861471861472,218.89999999999998,370.0,2207.0,125,86.54901960784314,670.5652173913044,8,8,100.0,0,32,71
17,858.5333333333331,215.30000000000004,74.83333333333334,218.40000000000003,350.0,2200.0,174,86.27450980392157,708.6086956521739,8,8,100.0,0,56,71
18,911.271619556914,219.3,99.87161955691367,222.09999999999994,370.0,2240.0,34,87.84313725490196,720.1739130434783,8,8,100.0,0,52,71
19,911.7873303167427,220.2,99.18733031674206,222.39999999999998,370.0,2249.0,9,88.19607843137256,689.304347826087,8,8,100.0,0,53,71
20,906.2659340659334,211.60000000000005,109.36593406593407,215.3,370.0,2163.0,95,84.82352941176471,700.695652173913,8,8,100.0,0,54,71
