episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1607.699999999999,209.1,64.6,423.99999999999994,910.0,2138.0,422,83.84313725490196,626.7391304347826,10,10,100.0,4343.7,0,63,71
2,1342.3528846153845,209.0,70.75288461538462,422.6,640.0,2137.0,452,83.80392156862744,574.6521739130435,7,7,100.0,3409.6,0,57,71
3,1507.2738095238092,276.1,66.77380952380952,434.40000000000003,730.0,2195.0,397,86.07843137254902,592.695652173913,8,8,100.0,3987.7,0,61,71
4,1529.0952380952385,215.89999999999995,69.59523809523809,433.6000000000001,810.0,2193.0,367,86.0,681.8695652173913,10,10,100.0,5278.4,0,63,71
5,1411.1500000000003,217.0,79.35,434.79999999999995,680.0,2204.0,317,86.4313725490196,663.3478260869565,7,7,100.0,3097.1,0,56,71
6,1655.3857142857134,216.20000000000002,94.58571428571429,434.59999999999997,910.0,2209.0,262,86.62745098039217,655.3478260869565,10,10,100.0,4254.5,0,59,71
7,1637.7311688311681,215.10000000000008,89.83116883116884,432.79999999999995,900.0,2187.0,239,85.76470588235294,697.1739130434783,10,10,100.0,4299.4,0,58,71
8,1481.1809523809516,223.10000000000002,99.28095238095239,448.79999999999984,710.0,2267.0,71,88.90196078431373,693.695652173913,8,8,100.0,3809.5,0,56,71
9,1394.829646334058,222.39999999999998,105.42964633405808,446.99999999999994,620.0,2258.0,7,88.54901960784314,683.3913043478261,7,7,100.0,3765.0,0,30,71
10,1338.9068681318681,219.79999999999998,97.50686813186813,441.5999999999999,580.0,2232.0,150,87.52941176470588,682.5652173913044,7,7,100.0,4299.6,0,52,71
11,1335.553571428571,218.50000000000009,87.45357142857144,439.60000000000014,590.0,2219.0,93,87.01960784313727,687.5217391304348,7,7,100.0,4165.7,0,35,71
12,1638.5357823549,215.79999999999993,85.73578235490001,436.99999999999994,900.0,2205.0,129,86.47058823529412,713.6521739130435,10,10,100.0,4343.5,0,36,71
13,1352.5858651152766,222.20000000000007,86.98586511527687,443.4,600.0,2256.0,89,88.47058823529412,683.3478260869565,7,7,100.0,4031.2,0,35,71
14,1330.6118421052633,226.79999999999998,91.41184210526316,452.40000000000003,560.0,2302.0,122,90.27450980392156,651.1739130434783,7,7,100.0,4610.3,0,46,71
15,1602.2333333333327,209.39999999999998,80.83333333333334,431.9999999999999,880.0,2141.0,265,83.96078431372548,684.5652173913044,10,10,100.0,4566.2,0,45,71
16,1696.8386363636364,206.60000000000002,96.23863636363636,424.00000000000006,970.0,2113.0,230,82.86274509803921,695.3478260869565,10,10,100.0,3498.4,1,46,71
17,1456.1489495798317,212.7,110.04894957983193,433.4,700.0,2166.0,112,84.94117647058823,728.304347826087,7,7,100.0,2875.4,2,40,71
18,1290.425,215.90000000000003,83.125,441.3999999999999,550.0,2198.0,168,86.19607843137254,718.6086956521739,7,7,100.0,4744.6,2,43,71
19,1445.4249999999995,216.9,101.525,437.0,690.0,2205.0,268,86.47058823529412,628.1739130434783,7,7,100.0,2964.2,3,53,71
20,1703.6999999999994,213.5,98.0,432.20000000000016,960.0,2182.0,295,85.5686274509804,645.695652173913,10,10,100.0,3765.2,4,47,71
