LLM + RL,,,,,,,,,,,,,,,,
episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1671.682353,216.9,63.58235294,431.2,960,2182,386,85.56862745,648.5217391,10,10,100,3082.133333,0,64,71
2,2170.05,277.4,67.05,435.6,1390,2210,373,86.66666667,610.1304348,14,14,100,3052.866667,1,57,71
3,1614.814286,210.5,79.71428571,424.6,900,2141,351,83.96078431,622.9130435,9,9,100,2786.066667,2,51,71
4,1809.2,217.4,58,433.8,1100,2210,376,86.66666667,675.6086957,11,11,100,2845.333333,3,49,71
5,2077.6,283.2,85.2,449.2,1260,2279,267,89.37254902,659.6086957,13,13,100,3646.4,4,47,71
6,1768.588262,214.5,105.0882617,429,1020,2181,6,85.52941176,692.5652174,11,11,100,3290.333333,5,3,71
7,1973.2,215.1,87.5,430.6,1240,2187,316,85.76470588,676.4347826,14,14,100,4565.666667,6,32,71
8,1660.9579,222.8,87.15790043,451,900,2275,87,89.21568627,694.826087,9,9,100,2696.733333,7,50,71
9,1914.237446,226.3,86.33744589,451.6,1150,2299,189,90.15686275,616.7391304,12,12,100,3349.4,8,54,71
10,1808.275,215,77.875,435.4,1080,2186,267,85.7254902,670.0434783,11,11,100,3023.266667,9,61,71
11,1709.232468,219.9,86.53246753,442.8,960,2235,281,87.64705882,655.6956522,10,10,100,3290.333333,10,65,71
12,1608.892324,217.1,56.99232434,434.8,900,2207,205,86.54901961,659.6956522,9,9,100,2726.4,11,40,71
13,1638.211538,217.9,91.31153846,439,890,2215,271,86.8627451,675.9565217,10,10,100,3557.4,12,53,71
14,1846.955895,227,96.55589509,453.4,1070,2306,74,90.43137255,684.6521739,11,11,100,3082.4,13,50,71
15,1902.814286,216.9,57.71428571,438.2,1190,2205,386,86.47058824,648.173913,12,12,100,2963.866667,14,54,71
16,1800.25,210.2,91.65,428.4,1070,2138,195,83.84313725,700.4782609,11,11,100,3082.2,15,29,71
17,1835.016807,215.2,83.61680672,436.2,1100,2199,282,86.23529412,691.826087,11,11,100,2845.333333,16,34,71
18,1631.2,218.4,78.4,444.4,890,2220,324,87.05882353,675.2608696,9,9,100,2904.6,17,36,71
19,1837.7,217.4,92.5,437.8,1090,2210,126,86.66666667,682.9130435,11,11,100,3023.4,18,42,71
20,2225.591667,213.3,104.2916667,428,1480,2169,106,85.05882353,705.4782609,15,15,100,3527.466667,19,53,71
21,1722.061842,211.1,88.96184211,422,1000,2147,43,84.19607843,723,10,10,100,2845.2,20,47,71
22,1632.987821,215.7,93.48782051,433.8,890,2204,65,86.43137255,706.826087,9,9,100,2963.8,21,43,71
23,2112.970549,214.2,107.9705491,430.8,1360,2178,20,85.41176471,716.826087,14,14,100,3527.466667,22,50,71
24,1723.672727,210,91.47272727,422.2,1000,2136,93,83.76470588,698.0869565,10,10,100,2815.666667,23,41,71
25,1794.899429,209.6,63.09942914,422.2,1100,2143,18,84.03921569,737.826087,11,11,100,2845,24,24,71
26,1924.854167,213.2,91.65416667,430,1190,2168,98,85.01960784,716.4782609,12,12,100,2963.6,25,31,71
27,1495.552951,211.5,80.65295078,423.4,780,2151,28,84.35294118,731.4347826,8,8,100,2874.933333,26,44,71
