episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,AVG_P5_BUFFER_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1846.8999999999996,214.5999999999999,75.3,427.00000000000006,1130.0,2159.0,447,84.66666666666667,612.8695652173913,14,14,100.0,5263.933333333333,0.0,0,62,71
2,2141.075,276.40000000000003,58.475,436.19999999999993,1370.0,2211.0,361,86.70588235294117,596.7391304347826,14,14,100.0,3408.9333333333334,0.0,1,56,71
3,2266.2249999999995,278.1,90.325,437.8,1460.0,2217.0,231,86.94117647058823,660.3913043478261,15,15,100.0,3527.133333333333,0.0,2,55,71
4,2194.239935064936,216.7,83.73993506493507,433.8,1460.0,2201.0,264,86.31372549019608,695.9130434782609,15,15,100.0,3527.4666666666667,0.0,3,52,71
5,2187.8304621848742,221.70000000000005,78.93046218487395,447.1999999999999,1440.0,2264.0,237,88.7843137254902,674.6086956521739,15,15,100.0,3586.866666666667,0.0,4,58,71
6,1831.4488095238084,216.60000000000002,97.64880952380953,437.2,1080.0,2200.0,252,86.27450980392157,657.8260869565217,11,11,100.0,3023.4666666666667,0.0,5,56,71
7,1972.5999999999995,218.70000000000005,54.3,439.5999999999999,1260.0,2223.0,385,87.17647058823529,635.5652173913044,13,13,100.0,3379.266666666667,0.0,6,58,71
8,1718.3999999999999,216.00000000000003,65.2,437.2000000000001,1000.0,2194.0,362,86.0392156862745,628.695652173913,10,10,100.0,2815.6666666666665,0.0,7,59,71
9,1870.8142857142855,212.89999999999998,74.71428571428572,433.1999999999999,1150.0,2176.0,338,85.33333333333334,617.2173913043479,12,12,100.0,3616.6,0.0,8,66,71
10,2184.1440476190473,215.79999999999995,74.54404761904763,433.79999999999984,1460.0,2192.0,255,85.9607843137255,671.2608695652174,15,15,100.0,3527.4666666666667,0.0,9,58,71
11,2070.675,217.00000000000006,75.475,438.2,1340.0,2217.0,324,86.94117647058823,668.6086956521739,14,14,100.0,3616.6,0.0,10,57,71
12,1751.6787878787868,218.39999999999995,94.67878787878789,438.6000000000001,1000.0,2218.0,215,86.98039215686273,688.4782608695652,10,10,100.0,2845.5333333333333,0.0,11,61,71
13,1772.8587535014008,216.6999999999999,79.75875350140056,436.3999999999998,1040.0,2214.0,236,86.82352941176471,687.9565217391304,11,11,100.0,3319.6666666666665,0.0,12,55,71
14,2202.957967032967,225.2,69.15796703296704,448.5999999999999,1460.0,2286.0,152,89.64705882352942,648.0,15,15,100.0,3527.266666666667,0.0,13,58,71
15,1838.7166666666662,216.89999999999995,82.01666666666667,439.79999999999995,1100.0,2205.0,312,86.47058823529412,653.1304347826087,11,11,100.0,2845.3333333333335,0.0,14,52,71
16,2120.1999999999994,216.7,85.5,437.99999999999994,1380.0,2203.0,239,86.3921568627451,654.9565217391304,14,14,100.0,3438.3333333333335,0.0,15,52,71
17,1813.8,216.79999999999995,83.0,433.99999999999994,1080.0,2202.0,297,86.3529411764706,678.695652173913,11,11,100.0,3023.4,0.0,16,62,71
18,1687.7315508021384,217.79999999999993,87.13155080213905,442.7999999999999,940.0,2225.0,175,87.25490196078431,707.5217391304348,10,10,100.0,3319.6666666666665,0.0,17,51,71
19,2173.9,217.8,49.10000000000001,437.00000000000006,1470.0,2214.0,450,86.82352941176471,584.5217391304348,15,15,100.0,3527.4666666666667,0.0,18,52,71
20,1693.75,215.1,44.25,434.40000000000003,1000.0,2190.0,480,85.88235294117646,577.8695652173913,10,10,100.0,2993.9333333333334,0.0,19,49,71
21,1608.85,211.10000000000014,70.75,427.0000000000001,900.0,2158.0,493,84.62745098039215,584.6086956521739,9,9,100.0,2726.266666666667,0.0,20,52,71
22,2195.35,218.0,68.55,438.80000000000007,1470.0,2227.0,265,87.33333333333333,639.0434782608696,15,15,100.0,3556.8,0.0,21,58,71
23,2195.961013986014,217.80000000000004,80.161013986014,437.99999999999994,1460.0,2214.0,249,86.82352941176471,650.1739130434783,15,15,100.0,3527.4666666666667,0.0,22,58,71
24,1741.3571428571422,215.19999999999993,89.35714285714286,436.79999999999995,1000.0,2188.0,265,85.80392156862744,670.9565217391304,10,10,100.0,2815.6666666666665,0.0,23,49,71
25,2203.4499999999994,217.09999999999997,88.75,437.60000000000014,1460.0,2207.0,307,86.54901960784314,676.0434782608696,15,15,100.0,3557.0,0.0,24,54,71
26,1725.4142857142851,215.50000000000003,75.71428571428571,434.2,1000.0,2202.0,195,86.3529411764706,683.3478260869565,10,10,100.0,2696.733333333333,0.0,25,40,71
27,2027.053283970931,221.70000000000005,98.35328397093103,446.99999999999983,1260.0,2264.0,224,88.7843137254902,698.4347826086956,15,15,100.0,5189.333333333333,0.0,26,50,71
28,1981.0789473684208,210.69999999999985,92.17894736842106,428.2,1250.0,2154.0,281,84.47058823529412,672.1739130434783,15,15,100.0,5129.8,0.0,27,50,71
29,2189.374999999998,226.79999999999998,49.375,453.20000000000005,1460.0,2302.0,100,90.27450980392156,651.0869565217391,15,15,100.0,3527.4666666666667,0.0,28,43,71
30,1709.9285714285709,198.99999999999994,94.92857142857143,416.00000000000006,1000.0,2062.0,265,80.86274509803921,698.1739130434783,10,10,100.0,2815.2,0.0,29,50,71
31,1981.285714285714,213.20000000000002,78.28571428571428,429.79999999999995,1260.0,2168.0,391,85.01960784313725,640.2173913043479,13,13,100.0,3557.3333333333335,0.0,30,56,71
32,2087.4876623376617,215.70000000000005,96.18766233766235,435.6000000000001,1340.0,2204.0,235,86.4313725490196,651.695652173913,14,14,100.0,3616.3333333333335,0.0,31,49,71
33,1926.5090909090904,218.99999999999994,107.9090909090909,439.59999999999985,1160.0,2226.0,103,87.29411764705883,706.0434782608696,12,12,100.0,3557.2,0.0,32,36,71
34,2090.6749999999997,219.39999999999998,62.875,438.39999999999986,1370.0,2230.0,371,87.45098039215686,592.2608695652174,14,14,100.0,3408.9333333333334,0.0,33,49,71
35,1912.2190981432357,216.39999999999998,104.21909814323608,431.59999999999985,1160.0,2200.0,10,86.27450980392157,698.2173913043479,12,12,100.0,3557.3333333333335,0.0,34,16,71
36,2189.282034412956,214.4,84.88203441295546,429.9999999999999,1460.0,2178.0,244,85.41176470588235,695.304347826087,15,15,100.0,3527.4666666666667,0.0,35,49,71
37,2100.112229102166,212.69999999999996,97.81222910216718,429.59999999999997,1360.0,2163.0,66,84.82352941176471,707.304347826087,14,14,100.0,3527.4666666666667,0.0,36,20,71
38,2041.045435737336,206.2,77.64543573733623,417.1999999999998,1340.0,2109.0,20,82.70588235294117,731.695652173913,14,14,100.0,3616.6,0.0,37,18,71
39,2091.001717836257,215.3,84.30171783625732,431.4,1360.0,2189.0,4,85.84313725490196,697.6521739130435,14,14,100.0,3527.4666666666667,0.0,38,19,71
40,2207.1142857142863,222.60000000000002,78.1142857142857,446.4,1460.0,2262.0,33,88.70588235294117,677.1739130434783,15,15,100.0,3497.8,0.0,39,43,71
41,2173.070329670329,213.60000000000005,67.67032967032966,431.79999999999995,1460.0,2183.0,102,85.6078431372549,677.3478260869565,15,15,100.0,3527.133333333333,0.0,40,49,71
42,2088.349999999999,219.9,67.25,441.2,1360.0,2235.0,114,87.6470588235294,696.8260869565217,14,14,100.0,3527.4666666666667,0.0,41,50,71
43,2191.8718045112773,210.80000000000004,82.47180451127821,428.6000000000001,1470.0,2155.0,55,84.50980392156863,707.4347826086956,15,15,100.0,3408.9333333333334,0.0,42,50,71
44,2229.644805194805,222.39999999999995,91.2448051948052,446.00000000000006,1470.0,2260.0,150,88.62745098039215,696.3478260869565,15,15,100.0,3408.9333333333334,0.0,43,28,71
45,2091.3063904830738,211.19999999999993,85.50639048307407,424.6,1370.0,2159.0,26,84.66666666666667,719.0869565217391,14,14,100.0,3527.3333333333335,0.0,44,32,71
46,2214.9964285714277,214.59999999999997,97.19642857142857,433.2,1470.0,2193.0,115,86.0,710.3913043478261,15,15,100.0,3379.266666666667,0.0,45,50,71
47,1994.1471828781425,216.79999999999993,82.54718287814399,434.80000000000007,1260.0,2204.0,21,86.4313725490196,699.0869565217391,13,13,100.0,3527.4666666666667,0.0,46,29,71
48,2039.837323716815,212.80000000000004,120.43732371681554,426.6,1280.0,2175.0,8,85.29411764705883,683.7826086956521,14,14,100.0,4447.6,0.0,47,28,71
49,2175.575396825397,217.70000000000005,81.07539682539682,436.7999999999999,1440.0,2224.0,18,87.2156862745098,687.304347826087,15,15,100.0,3586.866666666667,0.0,48,42,71
50,2112.1613636363636,213.39999999999998,107.96136363636363,430.7999999999999,1360.0,2170.0,47,85.09803921568627,707.5217391304348,14,14,100.0,3527.4666666666667,0.0,49,29,71
