episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,T_DELTA_P5_P4,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1216.3080595874708,216.29999999999993,59.80805958747135,430.1999999999999,510.0,2176.0,416,85.33333333333334,619.2173913043479,15,15,100.0,5444.466666666666,,0,66,71
2,1352.3321428571428,209.30000000000004,67.23214285714286,425.79999999999995,650.0,2140.0,360,83.92156862745098,645.8260869565217,14,14,100.0,3616.4666666666667,,0,61,71
3,1165.9136363636367,213.3,71.61363636363636,430.9999999999999,450.0,2167.0,342,84.98039215686275,630.1739130434783,9,9,100.0,2786.0666666666666,,1,59,71
4,1431.2499999999982,215.1999999999999,70.25,435.80000000000007,710.0,2199.0,365,86.23529411764706,681.2173913043479,15,15,100.0,3497.8,,2,53,71
5,1249.1499999999994,277.1,80.25,441.79999999999984,450.0,2218.0,276,86.98039215686273,673.0,9,9,100.0,2667.0666666666666,,3,42,71
6,1288.4833333333333,215.9,86.58333333333333,436.0000000000001,550.0,2193.0,86,86.0,674.9565217391304,11,11,100.0,2845.3333333333335,,4,56,71
7,1238.599999999999,212.70000000000005,66.9,429.0,530.0,2163.0,381,84.82352941176471,658.4782608695652,12,12,100.0,3320.0666666666666,,5,55,71
8,1197.6363636363637,223.4000000000001,57.63636363636364,446.5999999999999,470.0,2270.0,320,89.01960784313725,614.5652173913044,11,11,100.0,3498.2,,6,59,71
9,1462.1416666666664,220.0,70.94166666666666,441.19999999999993,730.0,2236.0,323,87.68627450980392,590.5652173913044,15,15,100.0,3379.266666666667,,7,64,71
10,1443.2750000000005,214.09999999999997,86.175,433.0000000000001,710.0,2177.0,302,85.37254901960785,664.9565217391304,15,15,100.0,3527.266666666667,,8,57,71
11,1376.807142857143,214.60000000000005,69.60714285714286,432.6,660.0,2182.0,379,85.5686274509804,659.6521739130435,14,14,100.0,3527.266666666667,,9,59,71
12,1224.4500000000003,215.19999999999996,54.45,434.7999999999999,520.0,2199.0,318,86.23529411764706,632.8260869565217,11,11,100.0,3438.5333333333333,,10,65,71
13,1224.9757575757576,223.99999999999991,82.57575757575756,448.3999999999999,470.0,2276.0,171,89.25490196078431,684.6521739130435,10,10,100.0,3082.6,,11,61,71
14,1254.1999999999991,221.49999999999991,59.7,452.99999999999983,520.0,2262.0,64,88.70588235294117,687.7391304347826,11,11,100.0,3171.6,,12,52,71
15,1451.7285714285717,217.80000000000007,78.32857142857142,445.59999999999997,710.0,2225.0,264,87.25490196078431,678.7391304347826,15,15,100.0,3527.266666666667,,13,52,71
16,1399.8571428571418,215.00000000000006,77.65714285714286,437.2,670.0,2186.0,99,85.72549019607844,705.1739130434783,14,14,100.0,3408.9333333333334,,14,47,71
17,1452.0499999999993,213.49999999999991,85.75,432.7999999999998,720.0,2171.0,151,85.13725490196077,719.1304347826087,15,15,100.0,3408.9333333333334,,15,36,71
18,1110.4400401069522,208.7,73.94004010695187,427.79999999999995,400.0,2123.0,301,83.25490196078431,706.0869565217391,8,8,100.0,2786.0666666666666,,16,49,71
19,1413.3032967032975,218.59999999999994,82.5032967032967,442.20000000000005,670.0,2222.0,29,87.13725490196079,692.9130434782609,14,14,100.0,3527.266666666667,,17,31,71
20,1131.8758116883118,210.9,91.57581168831169,429.39999999999986,400.0,2145.0,160,84.11764705882354,703.304347826087,8,8,100.0,2815.6,,18,56,71
21,1458.7750000000003,212.1999999999999,98.375,428.2000000000001,720.0,2161.0,71,84.74509803921568,708.8695652173913,15,15,100.0,3527.4666666666667,,19,45,71
22,1451.1661764705882,209.1000000000001,97.86617647058823,424.2,720.0,2127.0,102,83.41176470588235,710.0,15,15,100.0,3556.8,,20,46,71
23,1305.6009157509156,218.50000000000003,97.50091575091575,439.6,550.0,2221.0,9,87.09803921568627,720.5652173913044,11,11,100.0,2845.3333333333335,,21,40,71
24,1392.291176470588,216.99999999999997,75.89117647058822,439.39999999999986,660.0,2206.0,63,86.50980392156863,701.6521739130435,14,14,100.0,3527.4666666666667,,22,47,71
25,1440.5999999999992,210.39999999999998,79.0,431.19999999999993,720.0,2151.0,106,84.35294117647058,724.8260869565217,15,15,100.0,3438.6,,23,46,71
26,1461.5882352941176,213.89999999999998,96.28823529411765,431.3999999999998,720.0,2175.0,3,85.29411764705883,711.4347826086956,15,15,100.0,3408.9333333333334,,24,38,71
27,1158.0333333333338,221.20000000000002,92.43333333333334,444.4000000000001,400.0,2248.0,24,88.15686274509804,730.695652173913,8,8,100.0,2786.0666666666666,,25,50,71
28,1428.4128205128197,215.89999999999995,67.31282051282051,435.19999999999993,710.0,2195.0,8,86.07843137254902,706.3478260869565,15,15,100.0,3527.4666666666667,,26,28,71
29,1432.1461538461542,222.5,49.84615384615385,449.8000000000001,710.0,2272.0,6,89.09803921568627,655.9565217391304,15,15,100.0,3527.133333333333,,27,45,71
30,1443.1785714285716,206.40000000000003,95.17857142857143,421.60000000000014,720.0,2100.0,126,82.35294117647058,722.5652173913044,15,15,100.0,3408.9333333333334,,28,44,71
