episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,T_DELTA_P5_P4,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1140.9999999999998,279.5,55.5,436.0,370.0,2208.0,366,86.58823529411764,599.695652173913,12,12,100.0,5075.466666666666,,0,61,71
2,1381.9687062937062,214.40000000000003,65.1687062937063,432.4,670.0,2191.0,316,85.92156862745098,619.8260869565217,14,14,100.0,3171.2,,1,55,71
3,1211.8999999999996,213.2,57.5,431.2,510.0,2179.0,368,85.45098039215686,615.304347826087,11,11,100.0,3231.0666666666666,,2,61,71
4,1290.1999999999996,214.79999999999998,60.6,434.80000000000007,580.0,2195.0,368,86.07843137254902,684.6521739130435,13,13,100.0,3705.6666666666665,,3,52,71
5,1324.3,284.3,70.8,449.20000000000005,520.0,2279.0,290,89.37254901960785,656.5217391304348,12,12,100.0,3497.866666666667,,4,57,71
6,1257.5586538461546,217.7000000000001,82.25865384615385,437.59999999999997,520.0,2224.0,159,87.2156862745098,663.9565217391304,11,11,100.0,3052.4666666666667,,5,47,71
7,1317.8,219.10000000000008,37.5,441.19999999999993,620.0,2238.0,507,87.76470588235294,596.1739130434783,14,14,100.0,3735.2,,6,55,71
8,1288.1999999999998,222.39999999999995,58.8,447.00000000000006,560.0,2270.0,529,89.01960784313725,535.7391304347826,12,12,100.0,3260.733333333333,,7,41,71
9,1265.5571428571425,222.80000000000004,46.357142857142854,446.4000000000001,550.0,2264.0,485,88.7843137254902,534.4782608695652,12,12,100.0,3646.2,,8,48,71
10,1185.3863636363633,216.69999999999996,103.88636363636364,434.8,430.0,2203.0,168,86.3921568627451,672.8260869565217,9,9,100.0,2874.9333333333334,,9,52,71
11,1153.9821428571433,220.70000000000002,70.88214285714285,442.39999999999986,420.0,2246.0,165,88.07843137254902,660.8260869565217,10,10,100.0,3527.5333333333333,,10,45,71
12,1218.1344155844151,212.9,91.8344155844156,433.4,480.0,2165.0,201,84.90196078431373,699.1739130434783,10,10,100.0,2934.3333333333335,,11,51,71
13,1171.733333333333,216.5,91.03333333333333,434.19999999999993,430.0,2201.0,107,86.31372549019608,716.0,9,9,100.0,2874.9333333333334,,12,45,71
14,1449.2730225270082,223.3999999999999,66.07302252700859,449.7999999999998,710.0,2281.0,5,89.45098039215686,693.6086956521739,15,15,100.0,3527.4666666666667,,13,43,71
15,1427.299999999999,218.60000000000002,95.5,443.19999999999993,670.0,2222.0,86,87.13725490196079,723.7391304347826,15,15,100.0,3735.2,,14,28,71
16,1399.6892857142855,216.90000000000006,105.58928571428572,437.2,640.0,2205.0,5,86.47058823529412,720.6521739130435,14,14,100.0,3586.866666666667,,15,23,71
17,1427.971428571429,208.00000000000003,90.57142857142857,419.4,710.0,2127.0,196,83.41176470588235,694.3478260869565,15,15,100.0,3497.8,,16,54,71
18,1389.7749999999996,214.6,84.375,430.7999999999998,660.0,2182.0,237,85.5686274509804,702.5652173913044,14,14,100.0,3527.4666666666667,,17,48,71
19,1208.7805194805194,209.99999999999994,93.98051948051949,424.80000000000007,480.0,2136.0,212,83.76470588235294,679.3913043478261,11,11,100.0,3468.3333333333335,,18,43,71
20,1475.6825174825174,213.50000000000003,97.98251748251748,434.19999999999993,730.0,2171.0,106,85.13725490196077,706.0434782608696,15,15,100.0,3527.4666666666667,,19,38,71
21,1415.55,215.69999999999996,82.25,437.6,680.0,2193.0,142,86.0,712.1304347826087,15,15,100.0,3735.2,,20,27,71
22,1426.514285714285,210.40000000000006,100.31428571428572,425.80000000000007,690.0,2151.0,54,84.35294117647058,725.695652173913,15,15,100.0,3735.2,,21,17,71
23,1461.325,215.70000000000005,96.625,438.99999999999994,710.0,2196.0,105,86.11764705882354,711.4347826086956,15,15,100.0,3527.4666666666667,,22,34,71
24,1241.3749999999998,216.5999999999999,78.375,436.39999999999986,510.0,2202.0,71,86.3529411764706,709.0869565217391,11,11,100.0,3290.3333333333335,,23,28,71
25,1407.2858543417371,217.70000000000005,82.18585434173669,437.4000000000002,670.0,2213.0,146,86.7843137254902,713.304347826087,15,15,100.0,3794.3333333333335,,24,34,71
26,1421.9923076923076,211.70000000000007,88.29230769230767,432.0,690.0,2153.0,65,84.43137254901961,716.0,15,15,100.0,3586.866666666667,,25,27,71
27,1359.5071428571432,215.60000000000008,94.10714285714286,439.7999999999999,610.0,2192.0,78,85.9607843137255,738.304347826087,15,15,100.0,4328.666666666667,,25,27,71
28,1282.9574175824177,211.79999999999998,81.95741758241758,429.2,560.0,2154.0,136,84.47058823529412,700.6086956521739,12,12,100.0,3260.733333333333,,26,37,71
29,1202.9090225563916,219.59999999999997,72.70902255639096,440.5999999999998,470.0,2243.0,52,87.9607843137255,658.5217391304348,10,10,100.0,2993.4,,27,45,71
30,1418.6,208.1999999999999,86.0,424.40000000000015,700.0,2129.0,213,83.49019607843138,696.9130434782609,15,15,100.0,3557.3333333333335,,28,47,71
