episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,T_DELTA_P5_P4,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1223.4999999999998,215.50000000000009,63.400000000000006,434.59999999999997,510.0,2202.0,451,86.3529411764706,596.4347826086956,15,15,100.0,5100.266666666666,,0,56,71
2,1407.6249999999995,277.40000000000003,64.625,435.6,630.0,2210.0,400,86.66666666666667,563.8260869565217,14,14,100.0,3735.0,,1,59,71
3,1279.6499999999992,278.30000000000007,82.15,439.20000000000016,480.0,2219.0,206,87.01960784313727,652.6086956521739,10,10,100.0,2993.866666666667,,2,55,71
4,1265.9356013551667,217.29999999999995,108.43560135516658,440.20000000000005,500.0,2220.0,127,87.05882352941177,710.2173913043479,10,10,100.0,2726.4,,3,53,71
5,1449.111904761905,222.09999999999997,70.01190476190476,446.9999999999999,710.0,2257.0,144,88.50980392156863,688.304347826087,15,15,100.0,3527.266666666667,,4,48,71
6,1291.7285714285713,214.49999999999997,95.22857142857143,432.0,550.0,2181.0,177,85.52941176470588,672.5217391304348,11,11,100.0,2845.3333333333335,,5,36,71
7,1372.7000000000003,210.79999999999998,72.7,429.2,660.0,2144.0,284,84.07843137254902,697.3478260869565,14,14,100.0,3527.4666666666667,,6,47,71
8,1467.5249999999996,221.79999999999998,89.925,445.79999999999995,710.0,2254.0,169,88.3921568627451,675.7826086956521,15,15,100.0,3527.4666666666667,,7,56,71
9,1452.2757575757578,224.19999999999993,78.87575757575756,449.2,700.0,2280.0,214,89.41176470588236,626.0434782608696,15,15,100.0,3586.866666666667,,8,59,71
10,1195.0000000000002,217.59999999999997,91.0,436.4,450.0,2212.0,283,86.74509803921569,663.8260869565217,9,9,100.0,2786.0666666666666,,9,56,71
11,1094.766666666666,212.7,70.46666666666667,431.6,380.0,2174.0,351,85.25490196078431,654.5652173913044,8,8,100.0,2904.4666666666667,,10,61,71
12,1204.249999999999,217.10000000000005,99.14999999999999,438.00000000000006,450.0,2218.0,201,86.98039215686273,675.4782608695652,9,9,100.0,2726.4,,11,62,71
13,1451.1828431372548,217.0,87.78284313725489,436.3999999999998,710.0,2206.0,198,86.50980392156863,698.1739130434783,15,15,100.0,3527.4666666666667,,12,52,71
14,1232.925,223.99999999999991,57.125,451.7999999999998,500.0,2280.0,107,89.41176470588236,678.695652173913,10,10,100.0,2726.4,,13,44,71
15,1238.026879699247,215.49999999999997,85.72687969924812,436.8,500.0,2202.0,242,86.3529411764706,683.304347826087,10,10,100.0,2726.4,,14,56,71
16,1271.6999999999994,210.89999999999998,83.0,427.79999999999995,550.0,2145.0,302,84.11764705882354,645.5652173913044,12,12,100.0,3349.5333333333333,,15,52,71
17,1242.6,216.6999999999999,91.3,434.59999999999985,500.0,2203.0,252,86.3921568627451,643.304347826087,10,10,100.0,2726.4,,16,57,71
18,1277.6857142857136,214.1,84.78571428571428,438.7999999999998,540.0,2188.0,320,85.80392156862744,686.0434782608696,12,12,100.0,3616.3333333333335,,17,53,71
19,1091.547237076649,212.7000000000001,93.44723707664883,435.4,350.0,2174.0,220,85.25490196078431,675.1739130434783,7,7,100.0,2667.133333333333,,18,55,71
20,1063.646153846154,208.70000000000005,83.14615384615385,421.80000000000007,350.0,2134.0,461,83.68627450980392,594.9565217391304,7,7,100.0,2696.6666666666665,,19,57,71
21,1463.5247990500543,215.40000000000003,95.1247990500548,433.00000000000006,720.0,2190.0,249,85.88235294117646,674.0,15,15,100.0,3527.4666666666667,,20,53,71
22,1338.4999999999989,207.80000000000007,85.5,425.2,620.0,2125.0,307,83.33333333333334,658.9130434782609,13,13,100.0,3586.8,,21,48,71
23,1322.0500000000002,219.29999999999993,108.75,443.99999999999994,550.0,2238.0,8,87.76470588235294,712.4347826086956,11,11,100.0,2845.3333333333335,,22,45,71
24,1210.2857142857142,219.89999999999995,89.78571428571428,440.59999999999997,460.0,2235.0,216,87.6470588235294,678.9565217391304,10,10,100.0,3557.0666666666666,,23,46,71
25,1285.7090909090905,215.99999999999991,79.9090909090909,439.7999999999998,550.0,2207.0,162,86.54901960784314,714.9565217391304,11,11,100.0,2845.0,,24,35,71
26,1238.3999999999999,213.80000000000004,94.2,430.4,500.0,2174.0,115,85.25490196078431,698.1304347826087,10,10,100.0,2726.4,,25,51,71
27,1135.4696969696965,214.0,85.66969696969696,435.80000000000007,400.0,2187.0,104,85.76470588235294,723.695652173913,8,8,100.0,2786.0666666666666,,26,47,71
28,1266.1411764705877,211.79999999999995,103.94117647058823,430.4,520.0,2165.0,284,84.90196078431373,672.5217391304348,11,11,100.0,3052.4666666666667,,27,57,71
29,1193.0133792677914,224.2,69.61337926779103,449.2,450.0,2278.0,5,89.33333333333333,661.0869565217391,9,9,100.0,2756.266666666667,,28,39,71
30,1408.6000000000006,209.69999999999993,53.300000000000004,425.6,720.0,2144.0,473,84.07843137254902,611.7826086956521,15,15,100.0,3408.9333333333334,,29,48,71
