episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,T_DELTA_P5_P4,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1225.336842105263,212.1,53.23684210526316,430.0,530.0,2168.0,415,85.01960784313725,631.3478260869565,12,12,100.0,3527.4,,0,62,71
2,1440.6733766233758,269.5,66.97337662337662,424.19999999999993,680.0,2142.0,375,84.0,609.7391304347826,15,15,100.0,3705.4666666666667,,1,61,71
3,1323.9999999999998,209.79999999999993,78.0,426.20000000000005,610.0,2145.0,363,84.11764705882354,635.8695652173913,15,15,100.0,4328.133333333333,,2,61,71
4,1370.8688811188815,217.80000000000004,56.86888111888112,436.1999999999998,660.0,2214.0,369,86.82352941176471,661.4782608695652,15,15,100.0,3883.6,,3,59,71
5,1313.7249999999988,219.99999999999997,50.725,442.99999999999994,600.0,2247.0,338,88.11764705882354,642.3478260869565,15,15,100.0,4180.466666666666,,4,63,71
6,1298.1999999999998,217.29999999999993,64.7,436.1999999999999,580.0,2209.0,319,86.62745098039217,607.3478260869565,13,13,100.0,3468.4666666666667,,5,54,71
7,1297.475,213.60000000000005,61.675,432.2000000000001,590.0,2172.0,405,85.1764705882353,662.695652173913,14,14,100.0,3943.0,,6,63,71
8,1353.332142857143,217.3,79.23214285714286,436.8,620.0,2209.0,329,86.62745098039217,641.1739130434783,15,15,100.0,4447.266666666666,,7,62,71
9,1078.4999999999998,217.59999999999997,64.5,436.3999999999998,360.0,2212.0,388,86.74509803921569,601.6086956521739,8,8,100.0,3527.6666666666665,,8,65,71
10,1309.4,276.40000000000015,78.19999999999999,434.8,520.0,2200.0,210,86.27450980392157,683.6086956521739,15,15,100.0,4892.4,,9,58,71
11,1342.7507575757572,215.7,79.65075757575758,437.3999999999999,610.0,2193.0,204,86.0,708.2173913043479,14,14,100.0,3913.5333333333333,,10,44,71
12,1195.3233766233764,217.7,78.62337662337663,438.9999999999999,460.0,2224.0,274,87.2156862745098,668.8260869565217,10,10,100.0,3023.0666666666666,,11,40,71
13,1266.9499999999996,221.5,90.85,444.59999999999985,510.0,2251.0,205,88.27450980392156,684.5217391304348,15,15,100.0,5100.2,,12,33,71
14,1157.680952380952,222.29999999999995,68.98095238095237,446.39999999999986,420.0,2259.0,277,88.58823529411765,628.304347826087,10,10,100.0,3349.733333333333,,13,55,71
15,1128.4361904761904,217.9,80.53619047619048,440.00000000000006,390.0,2215.0,260,86.86274509803921,690.3913043478261,11,11,100.0,4091.4666666666667,,14,58,71
16,1140.7625000000003,217.09999999999994,94.86250000000001,438.79999999999995,390.0,2207.0,206,86.54901960784314,683.1304347826087,10,10,100.0,3587.4,,15,49,71
17,1218.8666666666668,220.9,87.16666666666666,440.79999999999995,470.0,2245.0,187,88.0392156862745,699.0869565217391,11,11,100.0,3438.733333333333,,16,38,71
18,1128.0903951054106,214.89999999999998,74.39039510541059,438.8000000000001,400.0,2185.0,174,85.68627450980392,726.695652173913,9,9,100.0,3141.8,,17,57,71
19,1074.2452380952377,215.79999999999995,81.64523809523808,436.79999999999995,340.0,2194.0,245,86.0392156862745,661.1739130434783,9,9,100.0,4061.866666666667,,17,55,71
20,1143.1,216.50000000000003,89.0,437.59999999999985,400.0,2199.0,131,86.23529411764706,701.0434782608696,9,9,100.0,3765.266666666667,,18,45,71
21,1229.9192307692306,213.20000000000002,105.51923076923076,431.20000000000005,480.0,2166.0,63,84.94117647058823,723.6521739130435,11,11,100.0,3498.0666666666666,,19,37,71
22,1083.4285714285709,210.69999999999996,85.92857142857143,426.8,360.0,2143.0,89,84.0392156862745,713.9565217391304,9,9,100.0,3972.866666666667,,20,51,71
23,1329.018045112782,218.8000000000001,108.01804511278195,442.2000000000001,560.0,2224.0,9,87.2156862745098,717.4347826086956,15,15,100.0,4655.2,,21,43,71
24,1321.8506493506497,221.49999999999991,93.55064935064934,446.79999999999995,560.0,2251.0,195,88.27450980392156,682.1739130434783,15,15,100.0,4773.466666666666,,22,53,71
25,1184.8999999999999,208.00000000000003,108.3,428.5999999999999,440.0,2116.0,219,82.98039215686275,727.4782608695652,15,15,100.0,5604.266666666666,,23,49,71
26,1325.1999999999996,212.19999999999993,92.0,431.0,590.0,2158.0,87,84.62745098039215,713.3478260869565,15,15,100.0,4388.0,,24,48,71
27,1273.7,220.99999999999991,97.5,445.20000000000005,510.0,2246.0,83,88.07843137254902,721.5217391304348,14,14,100.0,4714.4,,25,37,71
28,1179.1832505729562,214.2000000000001,96.98325057295645,427.99999999999994,440.0,2178.0,236,85.41176470588235,680.5217391304348,15,15,100.0,5574.4,,26,44,71
29,1358.5443227634305,223.5,85.8443227634303,449.1999999999999,600.0,2271.0,3,89.05882352941177,666.304347826087,15,15,100.0,4358.4,,27,50,71
30,1140.1167427167422,202.90000000000003,110.21674271674271,407.00000000000006,420.0,2065.0,94,80.98039215686275,721.9130434782609,9,9,100.0,2964.133333333333,,28,35,71
