episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1348.4461538461537,208.39999999999992,67.84615384615384,422.20000000000005,650.0,2131.0,433,83.56862745098039,633.9565217391304,14,14,100.0,3557.133333333333,0,62,71
2,1386.075,339.1,79.375,437.6000000000001,530.0,2227.0,166,87.33333333333333,670.6521739130435,15,15,100.0,4951.6,1,52,71
3,1100.789285714286,216.50000000000006,87.28928571428571,437.0000000000001,360.0,2212.0,194,86.74509803921569,664.4782608695652,9,9,100.0,3320.0666666666666,2,54,71
4,1319.5816930618396,209.90000000000003,82.48169306184012,427.19999999999993,600.0,2135.0,246,83.72549019607844,711.8260869565217,13,13,100.0,3320.133333333333,3,48,71
5,1175.067965367965,220.09999999999994,81.16796536796535,443.79999999999995,430.0,2237.0,288,87.72549019607843,657.9130434782609,10,10,100.0,3201.2,3,58,71
6,1302.395238095238,221.50000000000003,88.6952380952381,442.20000000000016,550.0,2251.0,191,88.27450980392156,663.4782608695652,11,11,100.0,2845.3333333333335,4,49,71
7,1331.9526473526478,218.39999999999998,65.15264735264736,438.3999999999998,610.0,2220.0,175,87.05882352941177,706.1304347826087,13,13,100.0,3379.266666666667,5,45,71
8,1373.2439792663479,224.19999999999987,69.04397926634769,449.9999999999999,630.0,2289.0,136,89.76470588235294,668.7826086956521,15,15,100.0,4150.466666666666,6,47,71
9,1293.4197368421048,218.70000000000002,84.91973684210527,439.80000000000007,550.0,2223.0,213,87.17647058823529,652.8260869565217,12,12,100.0,3616.6,6,49,71
10,1173.0749999999996,218.89999999999998,65.975,438.19999999999993,450.0,2225.0,211,87.25490196078431,659.1304347826087,9,9,100.0,2786.0666666666666,6,49,71
11,988.2564935064936,216.70000000000002,64.75649350649351,436.79999999999995,270.0,2214.0,305,86.82352941176471,645.7826086956521,7,7,100.0,3230.866666666667,7,66,71
12,1377.0285714285712,217.20000000000002,82.42857142857143,437.4000000000001,640.0,2208.0,225,86.58823529411764,675.6521739130435,14,14,100.0,3616.6,8,55,71
13,1375.460714285714,218.6,65.66071428571428,441.1999999999999,650.0,2233.0,145,87.5686274509804,703.3478260869565,15,15,100.0,4299.066666666667,9,60,71
14,1269.0131868131862,227.69999999999993,85.31318681318682,455.99999999999983,500.0,2313.0,164,90.70588235294117,662.6086956521739,10,10,100.0,2726.4,10,54,71
15,1252.212391774892,221.89999999999998,76.91239177489179,443.4000000000002,510.0,2255.0,181,88.4313725490196,685.3478260869565,11,11,100.0,3527.4666666666667,11,60,71
16,1186.4499999999991,217.1,83.35,436.0000000000001,450.0,2218.0,163,86.98039215686273,651.695652173913,9,9,100.0,2726.4,12,63,71
17,1317.6535714285715,213.89999999999995,81.55357142857143,432.20000000000005,590.0,2176.0,249,85.33333333333334,693.5217391304348,13,13,100.0,3349.5333333333333,13,59,71
18,1338.8423076923073,213.49999999999997,82.9423076923077,432.40000000000015,610.0,2171.0,273,85.13725490196077,683.6521739130435,15,15,100.0,4269.666666666667,14,60,71
19,1357.4571428571426,215.2,79.25714285714284,432.99999999999994,630.0,2188.0,158,85.80392156862744,677.0434782608696,15,15,100.0,4298.266666666666,15,59,71
20,1138.7285714285715,212.50000000000003,94.62857142857143,431.60000000000014,400.0,2172.0,195,85.1764705882353,690.2608695652174,8,8,100.0,2815.6,16,48,71
21,1250.398684210526,217.40000000000003,94.79868421052632,438.2,500.0,2210.0,87,86.66666666666667,706.8260869565217,10,10,100.0,2845.2,17,46,71
22,1212.6333333333334,218.89999999999992,86.13333333333333,437.5999999999999,470.0,2234.0,144,87.6078431372549,663.7391304347826,10,10,100.0,3171.0,18,38,71
23,1305.0,215.3,105.5,434.19999999999993,550.0,2187.0,48,85.76470588235294,716.0,11,11,100.0,2845.3333333333335,19,40,71
24,1168.8892857142853,219.69999999999993,80.58928571428572,438.5999999999997,430.0,2233.0,170,87.5686274509804,676.4782608695652,10,10,100.0,3201.2,20,55,71
25,1464.7378205128202,219.89999999999998,100.63782051282053,444.2,700.0,2246.0,173,88.07843137254902,701.3478260869565,15,15,100.0,3586.8,21,54,71
26,1343.6999999999998,213.9000000000001,105.2,434.6000000000001,590.0,2175.0,160,85.29411764705883,698.3913043478261,15,15,100.0,4358.266666666666,22,57,71
