episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
1,2396.2000000000003,274.70000000000005,59.0,434.3999999999999,430.0,2194.0,398,86.0392156862745,622.304347826087,9,9,100.0,2904.5333333333333,0,60,71,1198.0999999999995
2,8128.200000000002,211.2999999999999,56.8,426.5999999999999,660.0,2149.0,342,84.27450980392157,648.8260869565217,15,15,100.0,3824.0,1,63,71,2552.799999999998
3,8796.735338345867,278.7,78.02255639097744,439.40000000000015,670.0,2224.0,243,87.2156862745098,651.5217391304348,15,15,100.0,4002.2,2,51,71,4018.9225563909768
4,8050.095554445553,210.2,73.68259240759241,427.7999999999997,630.0,2149.0,219,84.27450980392157,721.8695652173913,15,15,100.0,4150.666666666667,3,49,71,5360.605148798568
5,7819.0714285714275,220.00000000000003,88.77857142857144,444.4,550.0,2247.0,211,88.11764705882354,660.2608695652174,12,12,100.0,3230.6,4,54,71,6663.783720227138
6,8183.721428571426,215.2,84.15357142857144,434.5999999999999,630.0,2188.0,202,85.80392156862744,674.5217391304348,15,15,100.0,4150.666666666667,5,59,71,8027.737291655708
7,7913.935714285719,209.3,62.089285714285715,427.59999999999985,620.0,2140.0,250,83.92156862745098,696.8260869565217,14,14,100.0,3675.9333333333334,6,56,71,9346.726577369991
8,7504.979411764706,224.50000000000003,98.12990196078431,448.1999999999999,480.0,2281.0,174,89.45098039215686,663.0869565217391,12,12,100.0,3854.2,7,63,71,10597.556479330768
9,6981.878571428573,219.8,103.44642857142857,440.40000000000003,400.0,2245.0,109,88.0392156862745,668.9130434782609,9,9,100.0,3023.0666666666666,8,50,71,11761.202907902187
10,7246.800000000003,215.29999999999993,60.5,431.9999999999998,500.0,2189.0,281,85.84313725490196,665.9565217391304,11,11,100.0,3290.4,9,58,71,12969.00290790219
11,7129.221428571429,218.8,90.20357142857142,439.20000000000005,440.0,2224.0,224,87.2156862745098,688.8695652173913,11,11,100.0,3883.733333333333,10,53,71,14157.206479330756
12,7268.171315640884,216.49999999999994,78.8618859401468,436.0,480.0,2201.0,287,86.31372549019608,682.1739130434783,12,12,100.0,3883.4,11,47,71,15368.568365270898
13,6591.1714285714315,215.49999999999983,87.42857142857143,435.59999999999997,360.0,2191.0,320,85.92156862745098,669.0869565217391,9,9,100.0,3319.9333333333334,12,56,71,16467.096936699454
14,7650.848351648354,228.69999999999987,91.24139194139194,455.1999999999998,500.0,2323.0,144,91.09803921568627,664.0869565217391,10,10,100.0,2696.733333333333,13,44,71,17742.238328640837
15,8210.804545454546,225.8999999999999,80.36742424242424,452.1999999999998,610.0,2298.0,172,90.11764705882352,657.8260869565217,13,13,100.0,3320.0,14,40,71,19110.705752883263
16,7123.125,214.90000000000006,91.6875,430.59999999999974,450.0,2185.0,157,85.68627450980392,689.0,9,9,100.0,2696.733333333333,15,47,71,20297.893252883263
17,7794.917871602086,218.2,89.15297860034703,441.80000000000007,550.0,2229.0,50,87.41176470588236,695.304347826087,11,11,100.0,2845.3333333333335,16,44,71,21597.046231483597
18,6893.076923076927,218.0999999999999,91.54615384615384,439.1999999999997,400.0,2217.0,102,86.94117647058823,726.7391304347826,8,8,100.0,2786.0666666666666,17,51,71,22745.89238532974
19,7263.750000000004,216.79999999999998,108.625,435.1999999999999,450.0,2204.0,73,86.4313725490196,686.2173913043479,11,11,100.0,4002.2,18,45,71,23956.517385329724
20,7744.703715170279,215.40000000000003,113.38395252837977,432.00000000000006,530.0,2190.0,73,85.88235294117646,704.695652173913,11,11,100.0,3231.133333333333,19,40,71,25247.301337858098
21,7108.108421052633,214.20000000000005,97.68473684210525,432.8,440.0,2178.0,100,85.41176470588235,706.5217391304348,10,10,100.0,3201.2,20,40,71,26431.986074700188
22,6678.604897269913,211.9,96.20081621165214,425.0000000000001,380.0,2155.0,147,84.50980392156863,698.7391304347826,9,9,100.0,3171.6,21,45,71,27545.086890911844
23,7191.325527218778,220.7,84.65425453646277,443.2000000000002,450.0,2243.0,113,87.9607843137255,694.304347826087,11,11,100.0,3497.866666666667,22,54,71,28743.6411454483
24,7531.500000000001,220.10000000000002,84.55,440.60000000000014,510.0,2237.0,91,87.72549019607843,691.6086956521739,12,12,100.0,3705.6,23,52,71,29998.8911454483
25,2858.733333333332,219.29999999999995,96.06666666666668,444.0,670.0,2240.0,139,87.84313725490196,714.7826086956521,15,15,100.0,3824.133333333333,23,58,71,31428.257812114964
26,8394.3,212.70000000000007,75.35,431.0000000000001,680.0,2174.0,375,85.25490196078431,607.6086956521739,15,15,100.0,3675.9333333333334,24,66,71,32827.30781211497
27,7273.199999999999,218.39999999999995,84.2,439.5999999999999,470.0,2220.0,355,87.05882352941177,639.9130434782609,11,11,100.0,3557.266666666667,25,54,71,34039.507812115
28,2713.3647058823526,218.89999999999995,89.58235294117647,438.1999999999999,610.0,2226.0,162,87.29411764705883,687.7391304347826,15,15,100.0,4536.466666666666,25,51,71,35396.19016505615
29,7478.400000000005,217.9999999999999,68.6,439.79999999999984,520.0,2216.0,316,86.90196078431373,595.695652173913,15,15,100.0,5248.2,26,50,71,36642.59016505612
30,8317.450000000003,205.39999999999998,81.04166666666666,419.8000000000001,680.0,2093.0,481,82.07843137254902,607.4347826086956,15,15,100.0,3675.866666666667,27,43,71,38028.8318317228
