episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1315.1227272727263,207.50000000000006,73.02272727272728,424.6,610.0,2122.0,454,83.2156862745098,637.1739130434783,14,14,100.0,4150.6,0,59,71
2,1391.949999999999,274.99999999999994,75.35,431.5999999999999,610.0,2186.0,314,85.72549019607844,643.2608695652174,15,15,100.0,4328.6,0,53,71
3,1343.5000000000002,211.49999999999994,54.0,427.9999999999999,650.0,2162.0,357,84.78431372549021,629.4347826086956,15,15,100.0,4298.8,0,45,71
4,1335.028571428572,278.0,68.42857142857143,438.5999999999999,550.0,2227.0,358,87.33333333333333,678.0434782608696,11,11,100.0,2845.2,0,56,71
5,1248.5634365634367,218.7,89.06343656343657,440.79999999999984,500.0,2226.0,89,87.29411764705883,697.6521739130435,10,10,100.0,2815.5333333333333,0,48,71
6,1288.578571428571,213.5,93.67857142857143,431.3999999999999,550.0,2171.0,251,85.13725490196077,662.2608695652174,11,11,100.0,2845.3333333333335,0,41,71
7,1261.315384615385,212.1,71.61538461538461,427.6000000000001,550.0,2155.0,267,84.50980392156863,695.304347826087,14,14,100.0,4328.466666666666,0,59,71
8,1185.91259968102,224.29999999999993,82.61259968102074,448.99999999999983,430.0,2279.0,102,89.37254901960785,681.0869565217391,10,10,100.0,3231.0,0,54,71
9,1142.1285714285718,219.90000000000006,89.42857142857143,442.8,390.0,2235.0,253,87.6470588235294,627.5217391304348,9,9,100.0,3052.733333333333,0,48,71
10,1274.6285714285711,215.20000000000005,85.42857142857143,434.00000000000006,540.0,2194.0,232,86.0392156862745,648.9565217391304,11,11,100.0,3438.3333333333335,0,58,71
11,1082.2662337662337,210.10000000000002,56.76623376623377,425.40000000000015,390.0,2137.0,408,83.80392156862744,640.5652173913044,10,10,100.0,3735.266666666667,0,63,71
12,1206.9999999999995,214.50000000000003,50.099999999999994,432.3999999999999,510.0,2182.0,422,85.5686274509804,630.1304347826087,11,11,100.0,3527.4666666666667,0,65,71
13,1201.9160714285717,217.89999999999998,78.21607142857141,435.8000000000001,470.0,2215.0,249,86.86274509803921,670.4347826086956,15,15,100.0,5363.6,0,46,71
14,1424.5844919786093,221.29999999999998,89.68449197860963,443.5999999999999,670.0,2250.0,212,88.23529411764706,640.7826086956521,14,14,100.0,3408.9333333333334,0,64,71
15,1387.76837944664,213.49999999999994,80.26837944664031,433.9999999999999,660.0,2171.0,143,85.13725490196077,700.5217391304348,14,14,100.0,3527.133333333333,0,53,71
16,1390.6759590792835,208.4,88.87595907928389,423.4000000000001,670.0,2120.0,171,83.13725490196079,700.2608695652174,14,14,100.0,3408.9333333333334,0,49,71
17,1189.7320712325522,207.70000000000002,101.23207123255223,420.79999999999995,460.0,2113.0,179,82.86274509803921,714.5217391304348,10,10,100.0,2934.0666666666666,0,53,71
18,1409.186554621848,220.4,84.18655462184874,444.59999999999974,660.0,2240.0,76,87.84313725490196,729.7826086956521,14,14,100.0,3527.4666666666667,0,49,71
19,1470.750757575758,218.39999999999998,99.95075757575758,442.40000000000003,710.0,2220.0,61,87.05882352941177,693.2173913043479,15,15,100.0,3556.9333333333334,0,55,71
20,1196.9357142857145,219.0,79.53571428571429,438.4000000000001,460.0,2227.0,227,87.33333333333333,662.695652173913,10,10,100.0,3883.866666666667,0,51,71
21,1281.6597402597408,218.4,95.25974025974027,438.0000000000001,530.0,2220.0,117,87.05882352941177,697.2173913043479,12,12,100.0,3497.6666666666665,0,45,71
22,1111.7979437229442,210.99999999999994,102.59794372294373,428.1999999999998,370.0,2146.0,60,84.15686274509804,715.1739130434783,10,10,100.0,4180.066666666667,0,51,71
23,1221.5000000000007,220.10000000000002,78.0,443.4000000000001,480.0,2248.0,106,88.15686274509804,709.1739130434783,11,11,100.0,3260.6666666666665,0,15,71
24,1196.4999999999998,225.79999999999995,39.5,451.19999999999993,480.0,2294.0,163,89.9607843137255,678.0434782608696,10,10,100.0,3052.733333333333,0,11,71
25,1325.3589285714286,217.4000000000001,88.75892857142857,439.19999999999993,580.0,2219.0,194,87.01960784313727,704.5217391304348,12,12,100.0,3467.9333333333334,0,43,71
26,1438.4483766233766,220.90000000000003,55.94837662337662,441.60000000000014,720.0,2245.0,191,88.0392156862745,676.9565217391304,15,15,100.0,3408.9333333333334,0,30,71
27,1163.2036199095023,220.5000000000001,68.30361990950226,444.39999999999986,430.0,2241.0,129,87.88235294117646,702.4782608695652,9,9,100.0,2993.6,0,30,71
28,1409.50350877193,213.10000000000002,56.40350877192982,430.0,710.0,2167.0,90,84.98039215686275,711.2608695652174,15,15,100.0,3527.4666666666667,0,18,71
29,1446.381115833061,223.7,61.88111583306091,450.80000000000007,710.0,2284.0,5,89.56862745098039,660.1304347826087,15,15,100.0,3527.266666666667,0,18,71
30,1431.8999999999994,211.30000000000007,75.6,424.9999999999999,720.0,2149.0,113,84.27450980392157,724.4782608695652,15,15,100.0,3408.9333333333334,0,12,71
