episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1319.2250000000006,209.40000000000003,47.625,422.2,640.0,2141.0,504,83.96078431372548,596.4347826086956,14,14,100.0,3587.0,0,55,71
2,1223.5249999999994,207.9,71.625,424.0,520.0,2115.0,412,82.94117647058825,622.5652173913044,13,13,100.0,3913.133333333333,0,50,71
3,1478.5285714285715,273.4,66.92857142857143,428.2,710.0,2170.0,353,85.09803921568627,607.9130434782609,15,15,100.0,3527.4666666666667,0,53,71
4,1295.4571428571417,215.70000000000002,87.35714285714286,432.39999999999986,560.0,2193.0,377,86.0,645.695652173913,12,12,100.0,3527.4666666666667,0,44,71
5,1185.3851398601391,222.7,87.48513986013987,445.1999999999999,430.0,2263.0,106,88.74509803921569,684.9565217391304,10,10,100.0,3231.133333333333,0,43,71
6,1169.757142857143,217.2,55.15714285714286,437.40000000000003,460.0,2218.0,333,86.98039215686273,628.695652173913,11,11,100.0,3408.866666666667,0,57,71
7,1350.6999999999998,211.70000000000002,69.8,429.20000000000005,640.0,2164.0,580,84.86274509803921,573.4347826086956,15,15,100.0,4150.466666666666,0,42,71
8,1249.614285714285,223.79999999999995,59.01428571428572,446.8000000000001,520.0,2274.0,500,89.17647058823529,549.7826086956521,11,11,100.0,3527.4666666666667,0,49,71
9,1446.1999999999998,224.79999999999995,51.8,449.5999999999999,720.0,2282.0,508,89.49019607843137,520.5652173913044,15,15,100.0,3527.4666666666667,0,46,71
10,1126.5142857142857,218.20000000000005,87.71428571428572,440.6000000000001,380.0,2218.0,376,86.98039215686273,603.8695652173913,9,9,100.0,3171.6,0,58,71
11,1084.8571428571431,218.40000000000003,86.85714285714286,439.59999999999985,340.0,2220.0,200,87.05882352941177,702.695652173913,9,9,100.0,3616.266666666667,0,53,71
12,1278.65,217.39999999999995,71.45,439.79999999999984,550.0,2210.0,225,86.66666666666667,683.9130434782609,14,14,100.0,4298.8,0,53,71
13,1250.8892857142855,225.39999999999998,75.6892857142857,449.79999999999984,500.0,2290.0,191,89.80392156862746,674.3913043478261,10,10,100.0,2815.6666666666665,0,49,71
14,1270.052655677656,224.60000000000005,57.45265567765568,447.9999999999999,540.0,2282.0,254,89.49019607843137,614.0,11,11,100.0,2934.0,0,56,71
15,1201.6576206402292,222.5,81.95762064022934,447.20000000000005,450.0,2261.0,194,88.66666666666667,685.5217391304348,11,11,100.0,3586.866666666667,0,58,71
16,1410.8961538461544,220.20000000000002,81.09615384615384,439.5999999999999,670.0,2238.0,181,87.76470588235294,652.9130434782609,14,14,100.0,3408.9333333333334,0,61,71
17,1372.8500000000004,213.19999999999996,79.25,430.4,650.0,2171.0,197,85.13725490196077,710.695652173913,15,15,100.0,3883.6666666666665,0,62,71
18,1375.5750000000003,220.20000000000002,62.375,443.00000000000006,650.0,2238.0,149,87.76470588235294,711.8260869565217,14,14,100.0,3586.6,0,45,71
19,1396.955952380952,221.5000000000001,92.85595238095239,442.5999999999998,640.0,2251.0,99,88.27450980392156,687.2608695652174,15,15,100.0,4298.8,0,55,71
20,1433.3064807741277,220.80000000000007,98.90648077412784,443.6,670.0,2255.0,145,88.4313725490196,690.6086956521739,15,15,100.0,4061.3333333333335,0,51,71
21,1235.518465847878,212.70000000000007,104.81846584787762,428.00000000000006,490.0,2166.0,123,84.94117647058823,708.6521739130435,10,10,100.0,2993.6666666666665,0,54,71
22,1458.7398550724638,212.09999999999997,97.83985507246378,428.80000000000007,720.0,2157.0,125,84.58823529411764,705.5652173913044,15,15,100.0,3586.8,0,55,71
23,1221.6067099567092,214.29999999999995,92.90670995670996,434.40000000000015,480.0,2190.0,84,85.88235294117646,715.4782608695652,11,11,100.0,3230.866666666667,0,52,71
24,1191.4,222.39999999999995,83.6,445.39999999999986,440.0,2258.0,139,88.54901960784314,651.5652173913044,10,10,100.0,3171.6666666666665,0,48,71
25,1354.1766233766225,214.89999999999998,83.87662337662337,435.3999999999999,620.0,2185.0,154,85.68627450980392,723.695652173913,15,15,100.0,4269.133333333333,0,57,71
26,1195.785859728507,213.1,82.88585972850679,429.7999999999999,470.0,2167.0,138,84.98039215686275,700.2608695652174,10,10,100.0,2904.5333333333333,0,53,71
27,1320.751177085846,212.7,101.25117708584627,426.8,580.0,2163.0,48,84.82352941176471,730.7826086956521,14,14,100.0,4150.466666666666,0,43,71
28,1156.2,214.89999999999995,99.5,431.79999999999995,410.0,2185.0,229,85.68627450980392,679.9130434782609,10,10,100.0,3349.4,0,57,71
29,1108.9252364703457,220.2,69.92523647034515,438.8000000000001,380.0,2238.0,11,87.76470588235294,661.7826086956521,9,9,100.0,3141.8,0,46,71
30,1234.2431656127226,204.70000000000007,88.54316561272258,410.9999999999999,530.0,2083.0,38,81.68627450980392,725.5217391304348,15,15,100.0,4833.133333333333,0,44,71
31,1336.7159737579238,209.39999999999998,97.7159737579242,419.5999999999999,610.0,2130.0,46,83.52941176470588,709.5652173913044,13,13,100.0,3527.4666666666667,0,38,71
32,1389.1068681318682,210.99999999999994,104.50686813186813,423.59999999999985,650.0,2146.0,56,84.15686274509804,704.3478260869565,15,15,100.0,4120.933333333333,0,38,71
33,1319.2461538461532,215.79999999999995,70.84615384615384,432.5999999999999,600.0,2194.0,89,86.0392156862745,710.1739130434783,12,12,100.0,2875.0666666666666,0,40,71
34,1143.4142857142865,211.30000000000007,67.71428571428572,424.40000000000003,440.0,2149.0,52,84.27450980392157,697.6521739130435,9,9,100.0,2904.266666666667,0,30,71
35,1393.565302089215,217.9,81.66530208921515,433.99999999999994,660.0,2215.0,28,86.86274509803921,701.1304347826087,14,14,100.0,3527.4666666666667,0,39,71
36,1300.081863634302,202.70000000000005,87.78186363430171,409.60000000000014,600.0,2063.0,130,80.90196078431372,744.5217391304348,12,12,100.0,2875.0666666666666,0,35,71
37,1219.4461538461528,209.60000000000002,86.44615384615385,423.3999999999999,500.0,2133.0,222,83.6470588235294,687.3478260869565,10,10,100.0,2726.4,0,44,71
38,1167.1666666666658,219.89999999999995,72.26666666666667,444.9999999999999,430.0,2246.0,193,88.07843137254902,689.8260869565217,9,9,100.0,2904.3333333333335,0,53,71
39,1166.3953835380307,220.49999999999997,70.29538353803058,445.59999999999997,430.0,2252.0,65,88.31372549019608,668.7826086956521,9,9,100.0,2963.5333333333333,0,45,71
40,1257.0512289181406,220.79999999999998,72.85122891814068,443.40000000000003,520.0,2244.0,8,88.0,683.8260869565217,11,11,100.0,3082.266666666667,0,51,71
41,1187.774408048092,219.69999999999993,76.07440804809228,441.99999999999983,450.0,2231.0,90,87.49019607843137,668.3478260869565,9,9,100.0,2786.0666666666666,0,60,71
42,1391.0690934065924,220.19999999999996,67.4690934065934,443.40000000000003,660.0,2249.0,200,88.19607843137256,678.0,14,14,100.0,3527.4666666666667,0,55,71
43,1185.984249084249,219.09999999999997,79.88424908424908,437.0,450.0,2227.0,108,87.33333333333333,658.4347826086956,9,9,100.0,2667.0666666666666,0,55,71
44,1209.8800865800868,223.3,90.58008658008657,445.99999999999994,450.0,2270.0,222,89.01960784313725,683.4347826086956,9,9,100.0,2696.733333333333,0,41,71
45,1091.7142857142865,204.89999999999992,69.21428571428572,417.59999999999997,400.0,2096.0,432,82.19607843137256,615.2608695652174,8,8,100.0,2874.733333333333,0,42,71
46,1328.8233082706765,209.30000000000004,96.32330827067669,423.1999999999999,600.0,2129.0,176,83.49019607843138,703.695652173913,12,12,100.0,2875.0666666666666,0,48,71
47,1218.8913996883587,206.19999999999993,97.4913996883587,415.2,500.0,2109.0,32,82.70588235294117,706.304347826087,10,10,100.0,2845.3333333333335,0,25,71
48,1087.5,215.80000000000004,91.7,430.0,350.0,2194.0,77,86.0392156862745,682.1739130434783,7,7,100.0,2963.8,0,37,71
49,1246.8285714285712,220.4,87.42857142857144,438.99999999999994,500.0,2240.0,135,87.84313725490196,671.695652173913,10,10,100.0,2726.4,0,46,71
50,1115.9863636363639,207.9,83.88636363636363,424.1999999999999,400.0,2115.0,146,82.94117647058825,700.4782608695652,8,8,100.0,2786.0666666666666,0,38,71
