episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
1,2613.3999999999996,257.69999999999993,78.8,410.20000000000005,560.0,2024.0,428,79.37254901960785,641.0,15,15,100.0,4832.866666666667,0,51,71,1306.6999999999994
2,7482.000000000001,218.39999999999995,51.800000000000004,436.7999999999999,540.0,2220.0,397,87.05882352941177,610.6086956521739,15,15,100.0,4655.133333333333,1,62,71,1246.9999999999998
3,6853.609090909091,210.9,84.16818181818181,427.2,420.0,2145.0,283,84.11764705882354,631.8260869565217,10,10,100.0,3349.4666666666667,2,49,71,1142.2681818181816
4,2692.0142857142832,218.8,59.40714285714286,437.7999999999999,630.0,2224.0,403,87.2156862745098,667.0434782608696,15,15,100.0,4150.6,2,54,71,1346.007142857142
5,7450.624675324678,224.09999999999994,57.87077922077922,449.8,510.0,2288.0,368,89.72549019607843,585.9565217391304,12,12,100.0,3557.3333333333335,3,55,71,1241.7707792207786
6,7787.209090909092,222.00000000000009,73.06818181818181,442.8000000000002,560.0,2256.0,215,88.47058823529412,611.9565217391304,13,13,100.0,4091.0666666666666,4,53,71,1297.8681818181808
7,8020.501604278075,206.89999999999995,94.45026737967913,425.40000000000003,610.0,2106.0,251,82.58823529411765,703.1304347826087,14,14,100.0,3913.266666666667,5,51,71,1336.7502673796791
8,8665.957792207793,221.4,77.3262987012987,445.59999999999997,700.0,2250.0,244,88.23529411764706,667.0,15,15,100.0,3557.133333333333,6,54,71,1444.326298701299
9,8661.863736263736,221.9,88.34395604395604,443.4,690.0,2255.0,210,88.4313725490196,663.7391304347826,15,15,100.0,3942.8,7,40,71,1443.6439560439558
10,7266.150000000002,221.4,86.825,442.8000000000001,460.0,2250.0,141,88.23529411764706,669.7826086956521,11,11,100.0,3498.2,8,51,71,1211.0249999999992
