episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
1,2431.1973905351597,271.5,65.69869526758072,428.3999999999997,450.0,2162.0,406,84.78431372549021,640.9130434782609,11,11,100.0,3586.6,0,64,71,1215.598695267581
2,7987.8,277.19999999999993,76.3,437.8,540.0,2219.0,272,87.01960784313727,653.2173913043479,15,15,100.0,4803.266666666666,1,49,71,1331.2999999999995
3,8097.600000000001,215.10000000000002,87.5,436.99999999999994,610.0,2187.0,67,85.76470588235294,693.7826086956521,15,15,100.0,4331.2,2,43,71,1349.5999999999997
4,7687.5528971029,215.3000000000001,90.55881618381618,435.4000000000001,540.0,2200.0,294,86.27450980392157,706.5217391304348,15,15,100.0,4833.133333333333,3,44,71,1281.258816183816
5,7695.140159840162,221.10000000000002,86.02335997335997,445.4,530.0,2258.0,168,88.54901960784314,690.3913043478261,15,15,100.0,4892.6,4,55,71,1282.5233599733594
6,7606.239610389611,217.1,84.60660173160173,436.0,530.0,2218.0,164,86.98039215686273,659.9565217391304,15,15,100.0,5070.533333333334,5,53,71,1267.7066017316017
7,7405.885714285717,214.09999999999997,85.21428571428571,435.00000000000006,500.0,2177.0,337,85.37254901960785,685.6521739130435,13,13,100.0,4179.933333333333,6,58,71,1234.3142857142855
8,7820.271428571434,218.59999999999994,65.37857142857143,439.4000000000001,580.0,2220.0,319,87.05882352941177,636.0,14,14,100.0,4120.933333333333,7,59,71,1303.3785714285714
9,7688.991208791212,219.39999999999995,62.898534798534804,439.2,560.0,2230.0,447,87.45098039215686,569.5652173913044,12,12,100.0,3675.866666666667,8,57,71,1281.4985347985348
10,8008.905494505493,219.20000000000005,65.41758241758242,440.20000000000005,610.0,2228.0,546,87.37254901960785,565.6086956521739,15,15,100.0,4625.533333333334,9,50,71,1334.8175824175826
