episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS
1,1155.3,209.90000000000006,52.0,423.4000000000002,470.0,2146.0,445,84.15686274509804,625.0869565217391,10,10,100.0,3052.866666666667,0,64,71
2,1282.2119047619049,218.10000000000002,67.31190476190477,436.8000000000001,560.0,2217.0,305,86.94117647058823,635.5217391304348,13,13,100.0,3557.3333333333335,1,58,71
3,1282.7500000000005,214.3999999999999,68.15,430.19999999999993,570.0,2180.0,292,85.49019607843137,651.5652173913044,12,12,100.0,3527.4666666666667,2,57,71
4,1192.7000000000005,215.90000000000003,53.6,433.2000000000001,490.0,2193.0,396,86.0,666.5217391304348,12,12,100.0,3646.4666666666667,3,56,71
5,1080.826623376623,223.50000000000006,57.72662337662338,449.6,350.0,2271.0,317,89.05882352941177,621.0434782608696,10,10,100.0,3942.866666666667,4,53,71
6,1347.5142857142857,220.59999999999994,82.31428571428572,444.59999999999985,600.0,2253.0,155,88.3529411764706,645.1304347826087,13,13,100.0,3320.133333333333,5,48,71
7,1188.2000000000003,217.0,76.0,435.1999999999999,460.0,2206.0,351,86.50980392156863,641.5217391304348,12,12,100.0,3972.6,6,62,71
8,1160.7503364389233,225.60000000000008,74.35033643892339,450.8000000000002,410.0,2292.0,125,89.88235294117646,661.9565217391304,10,10,100.0,3379.4,7,55,71
9,1260.4654761904756,222.20000000000002,91.6654761904762,446.5999999999999,500.0,2269.0,118,88.98039215686275,657.9130434782609,12,12,100.0,3972.4666666666667,8,61,71
10,1131.8596153846156,217.40000000000003,96.25961538461537,438.1999999999999,380.0,2213.0,174,86.7843137254902,693.4782608695652,9,9,100.0,3231.0666666666666,9,58,71
11,1009.9000000000003,215.2,79.5,435.20000000000016,280.0,2188.0,251,85.80392156862744,688.0869565217391,8,8,100.0,3735.2,10,59,71
12,1113.8925824175826,214.30000000000004,89.39258241758243,430.20000000000005,380.0,2179.0,290,85.45098039215686,666.1739130434783,9,9,100.0,3201.3333333333335,11,57,71
13,1293.8642857142852,219.50000000000006,64.96428571428572,439.40000000000003,570.0,2231.0,265,87.49019607843137,656.8695652173913,13,13,100.0,3972.4666666666667,12,66,71
14,1106.7999999999997,218.99999999999997,66.0,441.79999999999995,380.0,2226.0,334,87.29411764705883,613.8695652173913,10,10,100.0,3735.266666666667,13,51,71
15,1235.703571428571,223.39999999999998,66.70357142857142,445.6,500.0,2270.0,204,89.01960784313725,691.3913043478261,15,15,100.0,5218.666666666667,14,53,71
16,1100.210989010989,214.00000000000003,84.01098901098901,432.20000000000005,370.0,2176.0,235,85.33333333333334,662.4782608695652,10,10,100.0,3735.266666666667,15,56,71
17,1346.6552193162865,217.89999999999992,89.15521931628744,439.5999999999999,600.0,2218.0,135,86.98039215686273,685.3913043478261,15,15,100.0,4388.066666666667,16,56,71
18,1388.3875,218.60000000000002,71.1875,438.6,660.0,2222.0,312,87.13725490196079,668.304347826087,14,14,100.0,3527.266666666667,17,58,71
19,1098.6803196803191,223.39999999999992,76.68031968031968,448.6,350.0,2281.0,163,89.45098039215686,669.7826086956521,9,9,100.0,3438.733333333333,18,61,71
