episode,total_reward,target_reward,iplt_reward,lot_move_reward,priority_reward,total_outputs,iplt_over_count,target_meet_rate,avg_wip,priority_lots_processed,priority_lots_available,priority_process_rate,AVG_ULOT_CYCLE_TIME,L2_STRATEGY_COUNT,POLICY_SWITCH_COUNT,TOTAL_ACTION_STEPS,original_reward
1,2438.6000000000004,215.29999999999993,57.2,436.79999999999995,510.0,2200.0,438,86.27450980392157,597.6086956521739,15,15,100.0,5218.266666666666,0,62,71,1219.3
2,7253.899999999997,216.39999999999998,48.58333333333333,434.0000000000001,510.0,2200.0,474,86.27450980392157,557.6086956521739,15,15,100.0,5129.933333333333,1,55,71,1208.9833333333333
3,7343.300000000003,217.6,80.68333333333332,435.60000000000014,490.0,2212.0,478,86.74509803921569,548.6521739130435,15,15,100.0,5426.466666666666,2,48,71,1223.8833333333332
4,7592.914285714283,275.7,66.78571428571428,432.99999999999994,490.0,2193.0,483,86.0,612.5652173913044,15,15,100.0,5277.866666666667,3,52,71,1265.485714285715
5,8916.96428571429,277.1,72.46071428571429,436.6,700.0,2207.0,289,86.54901960784314,654.8695652173913,15,15,100.0,3556.9333333333334,4,57,71,1486.160714285714
6,7647.389633895519,212.3999999999999,83.36493898258604,428.7999999999999,550.0,2171.0,155,85.13725490196077,676.0,11,11,100.0,2845.3333333333335,5,51,71,1274.5649389825855
7,8055.190609390613,207.59999999999994,95.53176823176824,419.40000000000003,620.0,2112.0,190,82.82352941176471,711.2173913043479,13,13,100.0,3260.6666666666665,6,40,71,1342.531768231768
8,8017.96645266498,225.6999999999999,79.02774211083035,451.5999999999999,580.0,2293.0,117,89.92156862745098,668.7391304347826,15,15,100.0,4387.466666666666,7,63,71,1336.3277421108307
9,7389.987362637364,222.70000000000005,83.36456043956044,445.6000000000001,480.0,2263.0,164,88.74509803921569,645.0869565217391,10,10,100.0,3171.6666666666665,8,58,71,1231.6645604395603
10,6460.350000000001,221.6,71.125,444.0000000000001,340.0,2252.0,183,88.31372549019608,653.7826086956521,11,11,100.0,4566.066666666667,9,55,71,1076.7249999999995
11,2358.6217194570136,216.19999999999996,76.51085972850679,436.59999999999997,450.0,2198.0,204,86.19607843137254,678.5217391304348,11,11,100.0,3705.5333333333333,9,50,71,1179.3108597285066
12,7218.389610389609,219.20000000000002,73.86493506493505,439.9999999999999,470.0,2228.0,282,87.37254901960785,659.2173913043479,11,11,100.0,3409.266666666667,10,56,71,1203.0649350649348
13,7336.714285714288,218.39999999999992,104.78571428571428,439.6,460.0,2231.0,237,87.49019607843137,675.8695652173913,11,11,100.0,3616.733333333333,11,53,71,1222.785714285714
14,7499.999999999999,218.59999999999997,80.0,441.3999999999999,510.0,2222.0,302,87.13725490196079,627.7826086956521,11,11,100.0,3142.0666666666666,12,56,71,1249.9999999999995
15,8190.75,220.5,69.625,445.0,630.0,2252.0,328,88.31372549019608,638.6521739130435,15,15,100.0,4239.466666666666,13,56,71,1365.1249999999995
16,7705.978846153849,213.8,39.12980769230769,431.40000000000003,600.0,2185.0,422,85.68627450980392,599.5652173913044,15,15,100.0,4506.6,14,59,71,1284.3298076923072
17,7306.799999999999,217.70000000000005,62.5,437.59999999999997,500.0,2213.0,425,86.7843137254902,615.304347826087,11,11,100.0,3142.133333333333,15,59,71,1217.7999999999997
18,7292.300000000005,218.4,67.18333333333334,439.8,490.0,2220.0,382,87.05882352941177,626.4782608695652,15,15,100.0,5306.733333333334,16,55,71,1215.3833333333332
19,8403.000000000002,219.99999999999997,89.5,441.00000000000006,650.0,2236.0,231,87.68627450980392,629.7826086956521,15,15,100.0,4387.933333333333,17,59,71,1400.4999999999995
20,8359.500000000002,210.10000000000002,65.75,427.39999999999975,690.0,2148.0,423,84.23529411764706,608.8695652173913,14,14,100.0,3408.9333333333334,18,62,71,1393.2500000000002
21,7073.485714285712,217.0,56.714285714285715,435.20000000000005,470.0,2206.0,368,86.50980392156863,615.8260869565217,15,15,100.0,5367.066666666667,19,51,71,1178.9142857142867
22,7501.729411764706,209.50000000000003,78.58823529411765,422.20000000000005,540.0,2131.0,300,83.56862745098039,638.6521739130435,15,15,100.0,5485.733333333334,20,56,71,1250.2882352941174
23,8664.50454545455,218.40000000000003,88.8840909090909,436.79999999999995,700.0,2220.0,208,87.05882352941177,674.3913043478261,15,15,100.0,3527.4666666666667,21,61,71,1444.0840909090903
24,8155.042857142856,215.79999999999998,88.77380952380953,434.59999999999985,620.0,2194.0,220,86.0392156862745,671.6086956521739,15,15,100.0,4447.266666666666,22,56,71,1359.1738095238097
25,8232.992307692311,220.59999999999997,58.76538461538461,442.7999999999999,650.0,2251.0,360,88.27450980392156,628.7826086956521,14,14,100.0,3497.6,23,56,71,1372.1653846153838
