episode,PureDRL_s42_train,PureDRL_s42_eval,PureDRL_s123_train,PureDRL_s123_eval,PureDRL_s777_train,PureDRL_s777_eval,PureDRL_s2024_train,PureDRL_s2024_eval,PureDRL_s7_train,PureDRL_s7_eval,Proposed_s42_train,Proposed_s42_eval,Proposed_s123_train,Proposed_s123_eval,Proposed_s777_train,Proposed_s777_eval,Proposed_s2024_train,Proposed_s2024_eval,Proposed_s7_train,Proposed_s7_eval
0,3498,4359.0,4388,2934.0,3854,2934.0,3320,4388.0,3854,2934.0,3498,3231.0,4388,2934.0,3854,3438.0,3320,3438.0,3854,3438.0
1,4507,4418.0,3201,2786.0,4566,2786.0,4121,4685.0,4566,2786.0,3735,3083.0,2934,2786.0,4181,3439.0,3587,3468.0,4181,3439.0
2,4477,4358.0,3943,2816.0,3469,2905.0,4715,4625.0,3469,2905.0,4299,3053.0,3557,2816.0,4922,3261.0,3201,3261.0,4922,3261.0
3,4121,4091.0,4240,2786.0,4477,2905.0,5278,4388.0,4477,2905.0,3557,3409.0,3587,2786.0,4358,3350.0,4626,3350.0,4358,3350.0
4,3379,4359.0,3290,3082.0,4210,3082.0,4537,4388.0,4210,3082.0,3409,3498.0,4121,2994.0,3765,3498.0,3557,3468.0,3765,3498.0
5,3913,4358.0,3231,2905.0,4625,2905.0,3528,4477.0,4625,2905.0,2934,3142.0,2845,2786.0,3320,3379.0,3528,3350.0,3320,3379.0
6,4210,4625.0,4685,2786.0,3735,2786.0,3557,4952.0,3735,2786.0,3527,3142.0,3557,2934.0,3379,3350.0,2875,3350.0,3379,3350.0
7,3943,4714.0,5308,2786.0,4833,2786.0,2816,4566.0,4833,2786.0,3557,3023.0,3854,2786.0,3201,3261.0,2905,3231.0,3201,3261.0
8,4922,4981.0,4477,2905.0,5189,2905.0,2845,4626.0,5189,2905.0,3646,3290.0,4329,2905.0,2697,3350.0,2993,3587.0,2697,3350.0
9,3943,4981.0,4774,2786.0,4833,2786.0,3884,5100.0,4833,2786.0,3439,3172.0,3142,2667.0,3142,3291.0,3795,3231.0,3142,3291.0
10,4151,4359.0,3795,2875.0,4685,2786.0,3083,5278.0,4685,2786.0,3587,3083.0,3676,2786.0,3557,3172.0,2845,3231.0,3557,3172.0
11,4536,4091.0,2964,2726.0,4002,2726.0,3439,4240.0,4002,2726.0,4507,2964.0,2726,2726.0,3439,3350.0,3172,3260.0,3439,3350.0
12,3439,4240.0,3231,2726.0,4358,2726.0,3171,4299.0,4358,2726.0,2994,2845.0,3053,2726.0,3557,3439.0,3468,3172.0,3557,3439.0
13,4804,4715.0,3142,2875.0,4447,2786.0,2845,4448.0,4447,2786.0,3409,3261.0,2994,2875.0,3468,3439.0,2726,2993.0,3468,3439.0
14,3231,4922.0,3676,2786.0,3854,2786.0,3587,5100.0,3854,2786.0,3676,3172.0,3320,2786.0,4210,3231.0,3913,3439.0,4210,3231.0
15,4240,4359.0,3439,2845.0,4091,2845.0,3409,4477.0,4091,2845.0,3231,2845.0,3439,2845.0,3527,3290.0,2816,3290.0,3527,3290.0
16,4092,4151.0,3260,2816.0,4329,2667.0,4121,4359.0,4329,2667.0,2964,2815.0,2726,2667.0,3736,3082.0,3646,3349.0,3736,3082.0
17,4803,4685.0,5100,2786.0,4210,2875.0,3884,4477.0,4210,2875.0,3320,3083.0,3023,2786.0,3557,3231.0,5129,3468.0,3557,3231.0
18,3676,4299.0,5189,2697.0,4804,2697.0,4625,4388.0,4804,2697.0,4863,3201.0,3735,2697.0,3557,3290.0,4329,3231.0,3557,3290.0
19,5664,4418.0,5011,2756.0,5130,2756.0,4002,4774.0,5130,2756.0,3261,2994.0,3587,2756.0,4981,3231.0,4002,3201.0,4981,3231.0
20,3439,4240.0,4566,2875.0,4359,2875.0,3587,4359.0,4359,2875.0,3854,3498.0,3053,2875.0,2845,2905.0,3617,2905.0,2845,2905.0
21,6049,4210.0,4329,2816.0,3557,2816.0,3557,4329.0,3557,2816.0,3142,3083.0,3290,2816.0,3587,3290.0,4299,3290.0,3587,3290.0
22,3409,4240.0,4240,2697.0,4121,2726.0,3498,4655.0,4121,2726.0,4536,2875.0,3409,2697.0,3765,3409.0,3379,3409.0,3765,3409.0
23,4625,4536.0,4032,2816.0,4744,2905.0,4062,4774.0,4744,2905.0,5159,3320.0,3587,2816.0,4626,3261.0,2816,3261.0,4626,3261.0
24,4062,4536.0,4418,2756.0,4714,2756.0,4180,4626.0,4714,2756.0,3557,3142.0,3260,2756.0,3617,3379.0,4447,3201.0,3617,3379.0
25,4448,4388.0,4121,2994.0,4150,2905.0,3231,4359.0,4150,2905.0,3409,3142.0,2845,2994.0,3438,3350.0,3617,3587.0,3438,3350.0
26,4388,4091.0,4477,2667.0,5041,2697.0,3647,4329.0,5041,2697.0,4922,3053.0,4210,2667.0,3527,3349.0,3913,3142.0,3527,3349.0
27,4715,4388.0,3587,2875.0,4507,2786.0,3320,4329.0,4507,2786.0,3557,3172.0,3261,2875.0,3824,3380.0,2816,3231.0,3824,3380.0
28,4032,4358.0,3231,2845.0,4239,2845.0,3617,4359.0,4239,2845.0,3765,3112.0,2994,2845.0,3557,3320.0,3379,3320.0,3557,3320.0
29,2905,4418.0,4240,2786.0,4477,2786.0,3439,4477.0,4477,2786.0,4151,3083.0,2905,2786.0,4121,3261.0,3201,3231.0,4121,3261.0
30,4625,,3142,,4596,,3320,,4596,,4625,,3765,,2786,,4091,,2786,
31,4388,,4447,,4447,,3824,,4447,,4388,,3735,,2816,,3884,,2816,
32,4448,,3350,,3587,,3290,,3587,,4210,,3646,,2875,,3409,,2875,
33,4269,,3082,,3112,,3349,,3112,,3617,,3083,,3142,,2993,,3142,
34,5219,,3172,,3557,,3439,,3557,,3587,,3083,,2667,,2875,,2667,
35,4299,,2875,,3290,,4388,,3290,,4507,,2875,,4210,,3468,,4210,
36,4477,,2726,,4032,,3616,,4032,,4240,,2726,,2726,,3053,,2726,
37,4685,,2786,,2786,,3528,,2786,,4714,,5961,,3557,,4358,,3557,
38,5011,,2875,,2875,,3973,,2875,,3795,,3201,,2875,,3765,,2875,
39,4358,,2845,,2845,,4359,,2845,,3824,,3379,,2845,,2934,,2845,
40,5486,,2786,,3527,,3706,,3527,,4566,,2875,,3527,,2875,,3527,
41,4536,,3023,,2934,,4359,,2934,,3765,,3379,,2934,,2845,,2934,
42,5189,,2816,,3053,,3765,,3053,,4447,,3290,,3142,,2697,,3142,
43,2905,,2697,,2697,,3142,,2697,,3795,,3112,,3884,,2697,,3884,
44,5011,,2875,,2964,,5130,,2964,,4417,,8554,,3795,,2964,,3795,
45,4537,,2875,,2875,,4418,,2875,,4358,,3142,,3587,,2964,,3587,
46,5159,,2845,,2845,,3795,,2845,,3587,,3795,,3795,,2845,,3795,
47,4477,,3053,,2964,,3854,,2964,,3765,,3498,,4359,,3053,,4359,
48,3943,,2726,,2697,,4299,,2697,,3083,,3290,,3439,,2697,,3439,
49,5100,,2875,,2786,,4685,,2786,,2905,,3023,,3587,,3795,,3587,
50,4982,,2875,,2756,,4359,,2756,,3439,,3201,,3587,,2875,,3587,
51,5011,,2697,,2667,,6732,,2667,,3201,,8262,,2816,,2697,,2816,
52,4774,,2845,,2845,,4299,,2845,,3291,,3172,,2845,,2845,,2845,
53,5130,,2845,,2845,,4833,,2845,,3112,,3112,,2845,,2697,,2845,
54,4329,,2756,,2726,,3647,,2726,,3112,,2786,,3527,,2756,,3527,
55,4685,,2816,,3557,,4804,,3557,,3201,,3320,,3527,,2816,,3527,
56,4329,,2756,,2756,,4181,,2756,,2756,,3171,,3527,,2726,,3527,
57,4804,,2845,,2845,,4477,,2845,,3083,,2845,,3557,,2845,,3557,
