condition,seed,eval_CT_mean_s,eval_CT_std_s,eval_CT_min_s,eval_CT_max_s,eval_TMR_mean_pct,fail_CT_gt_3500s,failure_threshold_tau,n_eval_episodes
PureDRL,s42,4429.7,247.3,4091.4,4981.4,88.8,1,3500,30
PureDRL,s123,2819.5,88.8,2667.1,3082.4,87.13,0,3500,30
PureDRL,s777,2817.6,89.2,2667.1,3082.4,88.62,0,3500,30
PureDRL,s2024,4554.4,264.7,4239.7,5278.1,82.93,1,3500,30
PureDRL,s7,4474.2,354.2,4091.5,5545.0,86.88,1,3500,30
RuleBased,s42,3753.5,1263.7,3141.9,8566.9,89.0,1,3500,30
RuleBased,s123,2809.7,87.3,2667.1,2993.5,89.18,0,3500,30
RuleBased,s777,3614.0,923.4,3204.2,8443.1,88.1,1,3500,30
RuleBased,s2024,3739.3,341.2,3171.5,4714.3,88.48,1,3500,30
RuleBased,s7,2817.5,98.3,2637.3,3023.3,86.9,0,3500,30
LLM-HRL,s42,3126.1,171.7,2815.4,3498.0,87.24,0,3500,30
LLM-HRL,s123,2805.7,89.7,2667.1,2993.5,86.71,0,3500,30
LLM-HRL,s777,3309.1,117.5,2904.7,3497.9,87.67,0,3500,30
LLM-HRL,s2024,3298.2,150.2,2904.7,3586.8,81.33,0,3500,30
LLM-HRL,s7,2814.6,89.0,2667.1,3082.4,87.3,0,3500,30
