condition,seed,episode,phase,urgent_lot_CT_s,target_meet_rate_pct,total_reward,masking_rate
PureDRL,s42,1,train,3498.1,85.22,1176.0,0.0
PureDRL,s42,2,train,4506.9,86.2,1248.6,0.0
PureDRL,s42,3,train,4477.2,87.02,1178.5,0.0
PureDRL,s42,4,train,4121.1,86.27,1178.7,0.0
PureDRL,s42,5,train,3379.5,89.29,1095.1,0.0
PureDRL,s42,6,train,3913.5,84.9,1039.9,0.0
PureDRL,s42,7,train,4209.9,85.45,1223.7,0.0
PureDRL,s42,8,train,3943.1,89.02,1206.2,0.0
PureDRL,s42,9,train,4922.1,89.37,1313.3,0.0
PureDRL,s42,10,train,3943.2,85.8,1062.8,0.0
PureDRL,s42,11,train,4150.7,85.18,1216.4,0.0
PureDRL,s42,12,train,4536.5,84.94,1197.6,0.0
PureDRL,s42,13,train,3438.7,87.14,1142.2,0.0
PureDRL,s42,14,train,4803.6,89.14,1233.3,0.0
PureDRL,s42,15,train,3230.9,89.1,1156.6,0.0
PureDRL,s42,16,train,4240.0,85.57,1258.0,0.0
PureDRL,s42,17,train,4091.7,84.98,1302.1,0.0
PureDRL,s42,18,train,4803.5,86.78,1157.5,0.0
PureDRL,s42,19,train,3676.1,87.53,1066.2,0.0
PureDRL,s42,20,train,5663.8,86.35,1269.0,0.0
PureDRL,s42,21,train,3438.6,85.61,1190.6,0.0
PureDRL,s42,22,train,6049.4,85.33,1230.2,0.0
PureDRL,s42,23,train,3409.3,87.88,1128.1,0.0
PureDRL,s42,24,train,4625.5,87.02,1098.1,0.0
PureDRL,s42,25,train,4061.7,85.49,1241.4,0.0
PureDRL,s42,26,train,4447.5,85.18,1259.0,0.0
PureDRL,s42,27,train,4388.2,86.16,1237.3,0.0
PureDRL,s42,28,train,4714.7,85.69,1254.5,0.0
PureDRL,s42,29,train,4031.9,88.47,1334.9,0.0
PureDRL,s42,30,train,2904.8,84.12,1063.3,0.0
PureDRL,s42,31,train,4625.4,84.98,1247.9,0.0
PureDRL,s42,32,train,4388.3,85.8,1280.4,0.0
PureDRL,s42,33,train,4447.7,88.59,1252.9,0.0
PureDRL,s42,34,train,4269.4,86.59,1229.6,0.0
PureDRL,s42,35,train,5218.9,89.37,1172.9,0.0
PureDRL,s42,36,train,4299.3,84.9,1248.1,0.0
PureDRL,s42,37,train,4477.1,87.69,1274.0,0.0
PureDRL,s42,38,train,4685.1,86.59,1240.0,0.0
PureDRL,s42,39,train,5011.2,88.78,1234.0,0.0
PureDRL,s42,40,train,4358.5,88.35,1308.3,0.0
PureDRL,s42,41,train,5485.6,86.31,1138.7,0.0
PureDRL,s42,42,train,4536.4,87.18,1282.9,0.0
PureDRL,s42,43,train,5189.0,85.1,1153.8,0.0
PureDRL,s42,44,train,2904.8,85.73,1074.2,0.0
PureDRL,s42,45,train,5011.1,85.33,1100.2,0.0
PureDRL,s42,46,train,4536.6,85.02,1251.4,0.0
PureDRL,s42,47,train,5159.4,87.22,1150.8,0.0
PureDRL,s42,48,train,4477.3,86.27,1272.2,0.0
PureDRL,s42,49,train,3943.1,87.33,1321.7,0.0
PureDRL,s42,50,train,5100.3,84.51,1131.9,0.0
PureDRL,s42,51,train,4981.6,87.29,1211.0,0.0
PureDRL,s42,52,train,5011.1,87.18,1314.3,0.0
PureDRL,s42,53,train,4774.1,88.2,1177.3,0.0
PureDRL,s42,54,train,5129.9,83.22,1217.1,0.0
PureDRL,s42,55,train,4328.9,85.14,1252.9,0.0
PureDRL,s42,56,train,4685.1,88.55,1281.0,0.0
PureDRL,s42,57,train,4328.9,85.18,1235.4,0.0
PureDRL,s42,58,train,4803.6,87.49,1230.5,0.0
PureDRL,s42,59,train,3884.1,86.98,1293.0,0.0
PureDRL,s42,60,train,4269.7,88.12,1278.3,0.0
PureDRL,s42,61,train,4892.6,82.08,1190.3,0.0
PureDRL,s42,62,train,5278.2,88.04,1295.1,0.0
